"","sequence.sequenceID","alignment.name","alignment.displayName","sequence.m49_country.id","sequence.m49_country.display_name","sequence.gb_place_sampled","sequence.collection_year","sequence.earliest_collection_year","sequence.latest_collection_year","sequence.gb_length","sequence.gb_create_date","sequence.gb_update_date","sequence.host","sequence.gb_pubmed_id","sequence.isolate"
"RV/CAR.PHL/2009/TRa-200.189","AB563975","AL_Asian_SEA4","Asian SEA4","PHL","Philippines","CAR, Mountain Province","2009","2009",2009,1575,"03-Apr-13","25-Jun-13","Canis lupus familiaris","23593515","RV/CAR.PHL/2009/TRa-200"
"RV/CAR.PHL/2009/TRa-200.244","AB683594","AL_Asian_SEA4","Asian SEA4","PHL","Philippines","CAR, Mountain Province","2009","2009",2009,1124,"03-Apr-13","25-Jun-13","Canis lupus familiaris","23593515","RV/CAR.PHL/2009/TRa-200"
"RV/CAR.PHL/2009/TRa-222.206","AB563992","AL_Asian_SEA4","Asian SEA4","PHL","Philippines","CAR, Mountain Province","2009","2009",2009,1575,"03-Apr-13","30-Jul-13","Canis lupus familiaris","23593515","RV/CAR.PHL/2009/TRa-222"
"RV/CAR.PHL/2009/TRa-222.278","AB683628","AL_Asian_SEA4","Asian SEA4","PHL","Philippines","CAR, Mountain Province","2009","2009",2009,1124,"03-Apr-13","29-May-13","Canis lupus familiaris","23593515","RV/CAR.PHL/2009/TRa-222"
"RV/CAR.PHL/2009/TRa-224","AB563993","AL_Asian_SEA4","Asian SEA4","PHL","Philippines","CAR, ifugao","2009","2009",2009,1575,"03-Apr-13","30-Jul-13","Canis lupus familiaris","23593515","RV/CAR.PHL/2009/TRa-224"
"RV/CAR.PHL/2009/TRa-234","AB564000","AL_Asian_SEA4","Asian SEA4","PHL","Philippines","Bontoc","2009","2009",2009,1575,"03-Apr-13","25-Jun-13","-","23593515","RV/CAR.PHL/2009/TRa-234"
"RV/CAR.PHL/2009/TRa-285","AB733961","AL_Asian_SEA4","Asian SEA4","PHL","Philippines","CAR, Mountain Province","2009","2009",2009,1575,"03-Apr-13","25-Jun-13","Canis lupus familiaris","23593515","RV/CAR.PHL/2009/TRa-285"
"RV/CAR.PHL/2010/TRa-289","AB733962","AL_Asian_SEA4","Asian SEA4","PHL","Philippines","CAR, Ifgao","2010","2010",2010,1575,"03-Apr-13","25-Jun-13","Canis lupus familiaris","23593515","RV/CAR.PHL/2010/TRa-289"
"RV/CAR.PHL/2010/TRa-291","AB771910","AL_Asian_SEA4","Asian SEA4","PHL","Philippines","CAR, Kalinga Apayao","2010","2010",2010,698,"29-May-13","29-May-13","Canis lupus familiaris","23593515","RV/CAR.PHL/2010/TRa-291"
"RV/CAR.PHL/2013/TRa-370","LC018525","AL_Asian_SEA4","Asian SEA4","PHL","Philippines","CAR, Kalinga Apayao","2013","2013",2013,1575,"22-Dec-15","22-Dec-15","Canis lupus familiaris","26656835","RV/CAR.PHL/2013/TRa-370"
"RV/CAR.PHL/2013/TRa-405","LC018545","AL_Asian_SEA4","Asian SEA4","PHL","Philippines","CAR, Ifugao","2013","2013",2013,1575,"22-Dec-15","22-Dec-15","Canis lupus familiaris","26656835","RV/CAR.PHL/2013/TRa-405"
"RV/CAR.PHL/2013/TRa-407","LC018547","AL_Asian_SEA4","Asian SEA4","PHL","Philippines","CAR, Ifugao","2013","2013",2013,1575,"22-Dec-15","22-Dec-15","Canis lupus familiaris","26656835","RV/CAR.PHL/2013/TRa-407"
"RV/CAR.PHL/2013/TRa-409","LC018548","AL_Asian_SEA4","Asian SEA4","PHL","Philippines","CAR, Benguet","2013","2013",2013,1575,"22-Dec-15","22-Dec-15","Canis lupus familiaris","26656835","RV/CAR.PHL/2013/TRa-409"
"RV/CAR.PHL/2013/TRa-500","LC018586","AL_Asian_SEA4","Asian SEA4","PHL","Philippines","CAR, Mountain Province","2013","2013",2013,1575,"22-Dec-15","22-Dec-15","Canis lupus familiaris","26656835","RV/CAR.PHL/2013/TRa-500"
"RV/CAR.PHL/2013/TRa-510","LC068918","AL_Asian_SEA4","Asian SEA4","PHL","Philippines","Cordillera Administrative Region (CAR), Ifugao","2013","2013",2013,1575,"13-Jul-18","13-Jul-18","Canis lupus familiaris","-","RV/CAR.PHL/2013/TRa-510"
"RV/CAR.PHL/2013/TRa-571","LC068941","AL_Asian_SEA4","Asian SEA4","PHL","Philippines","Cordillera Administrative Region (CAR), Mountain Province","2013","2013",2013,1575,"13-Jul-18","13-Jul-18","Canis lupus familiaris","-","RV/CAR.PHL/2013/TRa-571"
"RV/NCR.PHL/2004/Z-04-421","AB563796","AL_Asian_SEA4","Asian SEA4","PHL","Philippines","NCR, Metro Manila","2004","2004",2004,712,"03-Apr-13","29-May-13","Canis lupus familiaris","23593515","RV/NCR.PHL/2004/Z-04-421"
"RV/NCR.PHL/2004/Z-04-522","AB683584","AL_Asian_SEA4","Asian SEA4","PHL","Philippines","NCR, Metro Manila","2004","2004",2004,1575,"03-Apr-13","29-May-13","Canis lupus familiaris","23593515","RV/NCR.PHL/2004/Z-04-522"
"RV/NCR.PHL/2004/Z-04-534","AB563799","AL_Asian_SEA4","Asian SEA4","PHL","Philippines","NCR, Metro Manila","2004","2004",2004,706,"03-Apr-13","29-May-13","Canis lupus familiaris","23593515","RV/NCR.PHL/2004/Z-04-534"
"RV/NCR.PHL/2004/Z-04-646","AB733963","AL_Asian_SEA4","Asian SEA4","PHL","Philippines","NCR, Metro Manila","2004","2004",2004,1575,"03-Apr-13","25-Jun-13","Canis lupus familiaris","23593515","RV/NCR.PHL/2004/Z-04-646"
"RV/NCR.PHL/2005/Z-05-009.14","AB563800","AL_Asian_SEA4","Asian SEA4","PHL","Philippines","NCR, Metro Manila","2005","2005",2005,1575,"03-Apr-13","30-Jul-13","Canis lupus familiaris","23593515","RV/NCR.PHL/2005/Z-05-009"
"RV/NCR.PHL/2005/Z-05-009.245","AB683595","AL_Asian_SEA4","Asian SEA4","PHL","Philippines","NCR, Metro Manila","2005","2005",2005,1124,"03-Apr-13","29-May-13","Canis lupus familiaris","23593515","RV/NCR.PHL/2005/Z-05-009"
"RV/NCR.PHL/2005/Z-05-090","AB563803","AL_Asian_SEA4","Asian SEA4","PHL","Philippines","NCR, Metro Manila","2005","2005",2005,1575,"03-Apr-13","30-Jul-13","Canis lupus familiaris","23593515","RV/NCR.PHL/2005/Z-05-090"
"RV/NCR.PHL/2005/Z-05-149","AB563805","AL_Asian_SEA4","Asian SEA4","PHL","Philippines","NCR, Metro Manila","2005","2005",2005,1575,"03-Apr-13","30-Jul-13","Canis lupus familiaris","23593515","RV/NCR.PHL/2005/Z-05-149"
"RV/NCR.PHL/2005/Z-05-168","AB563806","AL_Asian_SEA4","Asian SEA4","PHL","Philippines","NCR, Metro Manila","2005","2005",2005,1575,"03-Apr-13","30-Jul-13","Canis lupus familiaris","23593515","RV/NCR.PHL/2005/Z-05-168"
"RV/NCR.PHL/2005/Z-05-187","AB563808","AL_Asian_SEA4","Asian SEA4","PHL","Philippines","NCR, Metro Manila","2005","2005",2005,659,"03-Apr-13","29-May-13","Canis lupus familiaris","23593515","RV/NCR.PHL/2005/Z-05-187"
"RV/NCR.PHL/2005/Z-05-285.24","AB563810","AL_Asian_SEA4","Asian SEA4","PHL","Philippines","NCR, Metro Manila","2005","2005",2005,840,"03-Apr-13","29-May-13","Canis lupus familiaris","23593515","RV/NCR.PHL/2005/Z-05-285"
"RV/NCR.PHL/2005/Z-05-285.246","AB683596","AL_Asian_SEA4","Asian SEA4","PHL","Philippines","NCR, Metro Manila","2005","2005",2005,1124,"03-Apr-13","29-May-13","Canis lupus familiaris","23593515","RV/NCR.PHL/2005/Z-05-285"
"RV/NCR.PHL/2005/Z-05-299","AB563811","AL_Asian_SEA4","Asian SEA4","PHL","Philippines","NCR, Metro Manila","2005","2005",2005,659,"03-Apr-13","29-May-13","Canis lupus familiaris","23593515","RV/NCR.PHL/2005/Z-05-299"
"RV/NCR.PHL/2005/Z-05-373","AB563812","AL_Asian_SEA4","Asian SEA4","PHL","Philippines","NCR, Metro Manila","2005","2005",2005,1575,"03-Apr-13","30-Jul-13","Canis lupus familiaris","23593515","RV/NCR.PHL/2005/Z-05-373"
"RV/NCR.PHL/2005/Z-05-396","AB563813","AL_Asian_SEA4","Asian SEA4","PHL","Philippines","NCR, Metro Manila","2005","2005",2005,1575,"03-Apr-13","30-Jul-13","Canis lupus familiaris","23593515","RV/NCR.PHL/2005/Z-05-396"
"RV/NCR.PHL/2005/Z-05-424","AB563814","AL_Asian_SEA4","Asian SEA4","PHL","Philippines","NCR, Metro Manila","2005","2005",2005,712,"03-Apr-13","29-May-13","Canis lupus familiaris","23593515","RV/NCR.PHL/2005/Z-05-424"
"RV/NCR.PHL/2005/Z-05-465","AB563815","AL_Asian_SEA4","Asian SEA4","PHL","Philippines","NCR, Metro Manila","2005","2005",2005,1575,"03-Apr-13","30-Jul-13","Canis lupus familiaris","23593515","RV/NCR.PHL/2005/Z-05-465"
"RV/NCR.PHL/2005/Z-05-466.30","AB563816","AL_Asian_SEA4","Asian SEA4","PHL","Philippines","NCR, Metro Manila","2005","2005",2005,1575,"03-Apr-13","30-Jul-13","Canis lupus familiaris","23593515","RV/NCR.PHL/2005/Z-05-466"
"RV/NCR.PHL/2005/Z-05-466.247","AB683597","AL_Asian_SEA4","Asian SEA4","PHL","Philippines","NCR, Metro Manila","2005","2005",2005,1124,"03-Apr-13","29-May-13","Canis lupus familiaris","23593515","RV/NCR.PHL/2005/Z-05-466"
"RV/R1.PHL/2008/TRa-094","AB563909","AL_Asian_SEA4","Asian SEA4","PHL","Philippines","Region1, Pangasinan","2008","2008",2008,1575,"03-Apr-13","30-Jul-13","Canis lupus familiaris","23593515","RV/R1.PHL/2008/TRa-094"
"RV/R1.PHL/2009/TRa-150","AB563951","AL_Asian_SEA4","Asian SEA4","PHL","Philippines","Region1, Pangasinan","2009","2009",2009,1575,"03-Apr-13","25-Jun-13","Canis lupus familiaris","23593515","RV/R1.PHL/2009/TRa-150"
"RV/R1.PHL/2009/TRa-151.166","AB563952","AL_Asian_SEA4","Asian SEA4","PHL","Philippines","Region1, Pangasinan","2009","2009",2009,1575,"03-Apr-13","25-Jun-13","Canis lupus familiaris","23593515","RV/R1.PHL/2009/TRa-151"
"RV/R1.PHL/2009/TRa-151.248","AB683598","AL_Asian_SEA4","Asian SEA4","PHL","Philippines","Region 1, Pangasinan","2009","2009",2009,1124,"03-Apr-13","25-Jun-13","Canis lupus familiaris","23593515","RV/R1.PHL/2009/TRa-151"
"RV/R1.PHL/2009/TRa-153.167","AB563953","AL_Asian_SEA4","Asian SEA4","PHL","Philippines","Region1, Pangasinan","2009","2009",2009,1575,"03-Apr-13","25-Jun-13","Canis lupus familiaris","23593515","RV/R1.PHL/2009/TRa-153"
"RV/R1.PHL/2009/TRa-153.249","AB683599","AL_Asian_SEA4","Asian SEA4","PHL","Philippines","Region 1, Pangasinan","2009","2009",2009,1124,"03-Apr-13","25-Jun-13","Canis lupus familiaris","23593515","RV/R1.PHL/2009/TRa-153"
"RV/R1.PHL/2009/TRa-154.168","AB563954","AL_Asian_SEA4","Asian SEA4","PHL","Philippines","Region1, Pangasinan","2009","2009",2009,1575,"03-Apr-13","30-Jul-13","Canis lupus familiaris","23593515","RV/R1.PHL/2009/TRa-154"
"RV/R1.PHL/2009/TRa-154.250","AB683600","AL_Asian_SEA4","Asian SEA4","PHL","Philippines","Region 1, Pangasinan","2009","2009",2009,1124,"03-Apr-13","29-May-13","Canis lupus familiaris","23593515","RV/R1.PHL/2009/TRa-154"
"RV/R1.PHL/2009/TRa-156.251","AB683601","AL_Asian_SEA4","Asian SEA4","PHL","Philippines","Region 1, Pangasinan","2009","2009",2009,1124,"03-Apr-13","25-Jun-13","Canis lupus familiaris","23593515","RV/R1.PHL/2009/TRa-156"
"RV/R1.PHL/2009/TRa-156.337","AB838709","AL_Asian_SEA4","Asian SEA4","PHL","Philippines","Region1, Pangasinan","2009","2009",2009,1575,"19-Jul-13","19-Jul-13","Canis lupus familiaris","23593515","RV/R1.PHL/2009/TRa-156"
"RV/R1.PHL/2009/TRa-157.169","AB563955","AL_Asian_SEA4","Asian SEA4","PHL","Philippines","Region1, Pangasinan","2009","2009",2009,1575,"03-Apr-13","30-Jul-13","Canis lupus familiaris","23593515","RV/R1.PHL/2009/TRa-157"
"RV/R1.PHL/2009/TRa-157.252","AB683602","AL_Asian_SEA4","Asian SEA4","PHL","Philippines","Region 1, Pangasinan","2009","2009",2009,1124,"03-Apr-13","29-May-13","Canis lupus familiaris","23593515","RV/R1.PHL/2009/TRa-157"
"RV/R1.PHL/2009/TRa-159.170","AB563956","AL_Asian_SEA4","Asian SEA4","PHL","Philippines","Region1, Pangasinan","2009","2009",2009,1575,"03-Apr-13","30-Jul-13","Canis lupus familiaris","23593515","RV/R1.PHL/2009/TRa-159"
"RV/R1.PHL/2009/TRa-159.253","AB683603","AL_Asian_SEA4","Asian SEA4","PHL","Philippines","Region 1, Pangasinan","2009","2009",2009,1124,"03-Apr-13","29-May-13","Canis lupus familiaris","23593515","RV/R1.PHL/2009/TRa-159"
"RV/R1.PHL/2009/TRa-161.171","AB563957","AL_Asian_SEA4","Asian SEA4","PHL","Philippines","Region1, Pangasinan","2009","2009",2009,1575,"03-Apr-13","30-Jul-13","Canis lupus familiaris","23593515","RV/R1.PHL/2009/TRa-161"
"RV/R1.PHL/2009/TRa-161.254","AB683604","AL_Asian_SEA4","Asian SEA4","PHL","Philippines","Region 1, Pangasinan","2009","2009",2009,1124,"03-Apr-13","29-May-13","Canis lupus familiaris","23593515","RV/R1.PHL/2009/TRa-161"
"RV/R1.PHL/2009/TRa-208","AB563981","AL_Asian_SEA4","Asian SEA4","PHL","Philippines","Region1, Pangasinan","2009","2009",2009,1575,"03-Apr-13","30-Jul-13","Canis lupus familiaris","23593515","RV/R1.PHL/2009/TRa-208"
"RV/R1.PHL/2009/TRa-209","AB563982","AL_Asian_SEA4","Asian SEA4","PHL","Philippines","Region1, Pangasinan","2009","2009",2009,1575,"03-Apr-13","30-Jul-13","Canis lupus familiaris","23593515","RV/R1.PHL/2009/TRa-209"
"RV/R1.PHL/2009/TRa-210","AB563983","AL_Asian_SEA4","Asian SEA4","PHL","Philippines","Region1, Pangasinan","2009","2009",2009,1575,"03-Apr-13","30-Jul-13","Canis lupus familiaris","23593515","RV/R1.PHL/2009/TRa-210"
"RV/R1.PHL/2009/TRa-213","AB563984","AL_Asian_SEA4","Asian SEA4","PHL","Philippines","Region1, Pangasinan","2009","2009",2009,1575,"03-Apr-13","30-Jul-13","Canis lupus familiaris","23593515","RV/R1.PHL/2009/TRa-213"
"RV/R1.PHL/2009/TRa-214.199","AB563985","AL_Asian_SEA4","Asian SEA4","PHL","Philippines","Region1, Pangasinan","2009","2009",2009,1575,"03-Apr-13","30-Jul-13","Canis lupus familiaris","23593515","RV/R1.PHL/2009/TRa-214"
"RV/R1.PHL/2009/TRa-214.255","AB683605","AL_Asian_SEA4","Asian SEA4","PHL","Philippines","R1, Pangasinan","2009","2009",2009,1124,"03-Apr-13","29-May-13","Canis lupus familiaris","23593515","RV/R1.PHL/2009/TRa-214"
"RV/R1.PHL/2009/TRa-215","AB563986","AL_Asian_SEA4","Asian SEA4","PHL","Philippines","Region1, Pangasinan","2009","2009",2009,1575,"03-Apr-13","30-Jul-13","Canis lupus familiaris","23593515","RV/R1.PHL/2009/TRa-215"
"RV/R1.PHL/2009/TRa-216","AB563987","AL_Asian_SEA4","Asian SEA4","PHL","Philippines","Region1, Launion","2009","2009",2009,1575,"03-Apr-13","30-Jul-13","Canis lupus familiaris","23593515","RV/R1.PHL/2009/TRa-216"
"RV/R1.PHL/2009/TRa-218","AB563988","AL_Asian_SEA4","Asian SEA4","PHL","Philippines","Region1, Launion","2009","2009",2009,1575,"03-Apr-13","30-Jul-13","Canis lupus familiaris","23593515","RV/R1.PHL/2009/TRa-218"
"RV/R1.PHL/2009/TRa-219.203","AB563989","AL_Asian_SEA4","Asian SEA4","PHL","Philippines","Region1, Pangasinan","2009","2009",2009,1575,"03-Apr-13","30-Jul-13","Canis lupus familiaris","23593515","RV/R1.PHL/2009/TRa-219"
