sequence.sequenceID,alignment.displayName,sequence.m49_country.display_name,sequence.collection_year,sequence.earliest_collection_year,brgy,place,province,region,,latitude,longitude,sequence.latest_collection_year,sequence.gb_length,sequence.gb_create_date,sequence.gb_update_date,sequence.host,sequence.gb_pubmed_id,sequence.isolate,seq
LC018548,Asian SEA4,Philippines,2013,2013,,La Trinidad,Benguet,Cordillera Administrative Region,CAR,,,18/02/2013,1575,22-Dec-15,22-Dec-15,Canis lupus familiaris,26656835,RV/CAR.PHL/2013/TRa-409,RV/CAR.PHL/2013/TRa-409
LC018586,Asian SEA4,Philippines,2013,2013,,Paracelis,Mountain Province,Cordillera Administrative Region,CAR,,,14/08/2013,1575,22-Dec-15,22-Dec-15,Canis lupus familiaris,26656835,RV/CAR.PHL/2013/TRa-500,RV/CAR.PHL/2013/TRa-500
LC018591,Asian SEA4,Philippines,2013,2013,,Tabuk,Kalinga Apayao,Cordillera Administrative Region,CAR,,,19/09/2013,1575,22-Dec-15,22-Dec-15,Canis lupus familiaris,26656835,RV/R2.PHL/2013/TRa-507,RV/R2.PHL/2013/TRa-507
LC068918,Asian SEA4,Philippines,2013,2013,,,Ifugao,Cordillera Administrative Region,CAR,,,01/10/2013,1575,13-Jul-18,13-Jul-18,Canis lupus familiaris,-,RV/CAR.PHL/2013/TRa-510,RV/CAR.PHL/2013/TRa-510
LC068941,Asian SEA4,Philippines,2013,2013,,,Mountain Province,Cordillera Administrative Region,CAR,,,07/11/2013,1575,13-Jul-18,13-Jul-18,Canis lupus familiaris,-,RV/CAR.PHL/2013/TRa-571,RV/CAR.PHL/2013/TRa-571
AB563796,Asian SEA4,Philippines,2004,2004,,,Metro Manila,National Capital Region,NCR,,,07/07/2004,712,03-Apr-13,29-May-13,Canis lupus familiaris,23593515,RV/NCR.PHL/2004/Z-04-421,RV/NCR.PHL/2004/Z-04-421
AB563799,Asian SEA4,Philippines,2004,2004,,,Metro Manila,National Capital Region,NCR,,,01/09/2004,706,03-Apr-13,29-May-13,Canis lupus familiaris,23593515,RV/NCR.PHL/2004/Z-04-534,RV/NCR.PHL/2004/Z-04-534
AB563800,Asian SEA4,Philippines,2005,2005,,Quezon City,Metro Manila,National Capital Region,NCR,14.67428047,121.0574986,07/01/2005,1575,03-Apr-13,30-Jul-13,Canis lupus familiaris,23593515,RV/NCR.PHL/2005/Z-05-009,RV/NCR.PHL/2005/Z-05-009
AB563803,Asian SEA4,Philippines,2005,2005,,Pasig City,Metro Manila,National Capital Region,NCR,,,15/02/2005,1575,03-Apr-13,30-Jul-13,Canis lupus familiaris,23593515,RV/NCR.PHL/2005/Z-05-090,RV/NCR.PHL/2005/Z-05-090
AB563805,Asian SEA4,Philippines,2005,2005,,Pasay City,Metro Manila,National Capital Region,NCR,14.53080944,121.0041508,16/03/2005,1575,03-Apr-13,30-Jul-13,Canis lupus familiaris,23593515,RV/NCR.PHL/2005/Z-05-149,RV/NCR.PHL/2005/Z-05-149
AB563806,Asian SEA4,Philippines,2005,2005,,Taguig City,Metro Manila,National Capital Region,NCR,,,29/03/2005,1575,03-Apr-13,30-Jul-13,Canis lupus familiaris,23593515,RV/NCR.PHL/2005/Z-05-168,RV/NCR.PHL/2005/Z-05-168
AB563808,Asian SEA4,Philippines,2005,2005,,,Metro Manila,National Capital Region,NCR,,,02/04/2005,659,03-Apr-13,29-May-13,Canis lupus familiaris,23593515,RV/NCR.PHL/2005/Z-05-187,RV/NCR.PHL/2005/Z-05-187
AB563810,Asian SEA4,Philippines,2005,2005,,,Metro Manila,National Capital Region,NCR,,,01/05/2005,840,03-Apr-13,29-May-13,Canis lupus familiaris,23593515,RV/NCR.PHL/2005/Z-05-285,RV/NCR.PHL/2005/Z-05-285
AB563811,Asian SEA4,Philippines,2005,2005,,,Metro Manila,National Capital Region,NCR,,,01/06/2005,659,03-Apr-13,29-May-13,Canis lupus familiaris,23593515,RV/NCR.PHL/2005/Z-05-299,RV/NCR.PHL/2005/Z-05-299
AB563812,Asian SEA4,Philippines,2005,2005,,Parañaque City,Metro Manila,National Capital Region,NCR,14.48357034,121.0147858,18/07/2005,1575,03-Apr-13,30-Jul-13,Canis lupus familiaris,23593515,RV/NCR.PHL/2005/Z-05-373,RV/NCR.PHL/2005/Z-05-373
AB563813,Asian SEA4,Philippines,2005,2005,,Las Pinas  ,Metro Manila,National Capital Region,NCR,14.4423825,120.9940879,28/07/2005,1575,03-Apr-13,30-Jul-13,Canis lupus familiaris,23593515,RV/NCR.PHL/2005/Z-05-396,RV/NCR.PHL/2005/Z-05-396
AB563814,Asian SEA4,Philippines,2005,2005,,,Metro Manila,National Capital Region,NCR,,,01/08/2005,712,03-Apr-13,29-May-13,Canis lupus familiaris,23593515,RV/NCR.PHL/2005/Z-05-424,RV/NCR.PHL/2005/Z-05-424
AB563815,Asian SEA4,Philippines,2005,2005,,Pasig City,Metro Manila,National Capital Region,NCR,,,17/09/2005,1575,03-Apr-13,30-Jul-13,Canis lupus familiaris,23593515,RV/NCR.PHL/2005/Z-05-465,RV/NCR.PHL/2005/Z-05-465
AB563816,Asian SEA4,Philippines,2005,2005,,Parañaque City,Metro Manila,National Capital Region,NCR,14.48357034,121.0147858,19/09/2005,1575,03-Apr-13,30-Jul-13,Canis lupus familiaris,23593515,RV/NCR.PHL/2005/Z-05-466,RV/NCR.PHL/2005/Z-05-466
AB683584,Asian SEA4,Philippines,2004,2004,,Parañaque City,Metro Manila,National Capital Region,NCR,14.48357034,121.0147858,09/09/2004,1575,03-Apr-13,29-May-13,Canis lupus familiaris,23593515,RV/NCR.PHL/2004/Z-04-522,RV/NCR.PHL/2004/Z-04-522
AB733963,Asian SEA4,Philippines,2004,2004,,Parañaque City,Metro Manila,National Capital Region,NCR,14.48357034,121.0147858,06/12/2004,1575,03-Apr-13,25-Jun-13,Canis lupus familiaris,23593515,RV/NCR.PHL/2004/Z-04-646,RV/NCR.PHL/2004/Z-04-646
MN726836,Asian SEA4,Philippines,2013,2013,,BF International,Metro Manila,National Capital Region,NCR,,,02/01/2013,11863,25-Dec-19,25-Dec-19,Canis lupus familiaris,-,Z-13-002,Z-13-002
MN726840,Asian SEA4,Philippines,2015,2015,,Upper Bicutan,Metro Manila,National Capital Region,NCR,,,04/08/2015,11653,25-Dec-19,25-Dec-19,Canis lupus familiaris,-,Z-15-148,Z-15-148
MN726843,Asian SEA4,Philippines,2012,2012,,TS Cruz Subd.,Metro Manila,National Capital Region,NCR,,,29/03/2012,11653,25-Dec-19,25-Dec-19,Canis lupus familiaris,-,Z-12-088,Z-12-088
MN726849,Asian SEA4,Philippines,2015,2015,,Villamor Air Base,Metro Manila,National Capital Region,NCR,,,19/06/2015,10725,25-Dec-19,25-Dec-19,Canis lupus familiaris,-,Z-15-119,Z-15-119
MN726854,Asian SEA4,Philippines,2015,2015,,San Dionisio,Metro Manila,National Capital Region,NCR,,,18/10/2015,11737,25-Dec-19,25-Dec-19,Canis lupus familiaris,-,Z15-185,Z15-185
MN726861,Asian SEA4,Philippines,2015,2015,,Multinational Vill.,Metro Manila,National Capital Region,NCR,,,28/01/2015,11791,25-Dec-19,25-Dec-19,Canis lupus familiaris,-,Z-15-019,Z-15-019
MN726866,Asian SEA4,Philippines,2014,2014,,"Seacom Compd., Sucat",Metro Manila,National Capital Region,NCR,,,16/06/2014,11765,25-Dec-19,25-Dec-19,Canis lupus familiaris,-,Z-14-138,Z-14-138
MN726873,Asian SEA4,Philippines,2014,2014,,Tipas,Metro Manila,National Capital Region,NCR,,,02/07/2014,11863,25-Dec-19,25-Dec-19,Canis lupus familiaris,-,Z14-152,Z14-152
MN857167,Asian SEA4,Philippines,2019,2019,,Caloocan  ,Metro Manila,National Capital Region,NCR,14.74647256,121.0486805,26/06/2019,11922,16-Mar-20,16-Mar-20,Canis familiaris,-,BAI/BAINCR/2019-01/can,BAI/BAINCR/2019-01/can
MN857168,Asian SEA4,Philippines,2019,2019,,Quezon City,Metro Manila,National Capital Region,NCR,,,28/05/2019,11922,16-Mar-20,16-Mar-20,Canis familiaris,-,BAI/BAINCR/2019-02/can,BAI/BAINCR/2019-02/can
MN857169,Asian SEA4,Philippines,2019,2019,,Pasay City,Metro Manila,National Capital Region,NCR,,,31/05/2019,11922,16-Mar-20,16-Mar-20,Canis familiaris,-,BAI/BAINCR/2019-03/can,BAI/BAINCR/2019-03/can
Z-04-664,Asian SEA4,Philippines,,,Lower Bicutan,Taguig,Metro Manila,National Capital Region,NCR,14.51469695,121.0660524,15/12/2004,11872,,,Canis familiaris,,Z-04-664,Z-04-664
Z-05-102,Asian SEA4,Philippines,,,,Muntinlupa  ,Metro Manila,National Capital Region,NCR,14.40197636,121.0327847,21/02/2005,11872,,,Canis familiaris,,Z-05-102,Z-05-102
Z-05-191,Asian SEA4,Philippines,,,Lower Bicutan,Taguig,Metro Manila,National Capital Region,NCR,14.51469695,121.0660524,10/04/2005,11872,,,Canis familiaris,,Z-05-191,Z-05-191
Z-05-557,Asian SEA4,Philippines,,,Rizal,Makati,Metro Manila,National Capital Region,NCR,14.54943127,121.0335906,03/12/2005,11872,,,Canis familiaris,,Z-05-557,Z-05-557
Z-05-96,Asian SEA4,Philippines,,,Maywood Sucat,Parañaque City,Metro Manila,National Capital Region,NCR,14.48357034,121.0147858,17/02/2005,11872,,,Canis familiaris,,Z-05-96,Z-05-96
Z-07-351,Asian SEA4,Philippines,,,-,Taguig  ,Metro Manila,National Capital Region,NCR,14.51469695,121.0660524,25/10/2007,11872,,,Canis familiaris,,Z-07-351,Z-07-351
Z-07-407,Asian SEA4,Philippines,,,Southland Talon 1,Las Pinas,Metro Manila,National Capital Region,NCR,14.4423825,120.9940879,26/12/2007,11872,,,Canis familiaris,,Z-07-407,Z-07-407
Z-09-94,Asian SEA4,Philippines,,,Brgy 191,Pasay City,Metro Manila,National Capital Region,NCR,14.53080944,121.0041508,08/04/2009,11872,,,Canis familiaris,,Z-09-94,Z-09-94
Z-12-029,Asian SEA4,Philippines,,,Sss Village,Marikina  ,Metro Manila,National Capital Region,NCR,14.64718362,121.1030131,03/02/2012,11872,,,Canis familiaris,,Z-12-029,Z-12-029
Z-12-208,Asian SEA4,Philippines,,,De Paro St.,Caloocan  ,Metro Manila,National Capital Region,NCR,14.74647256,121.0486805,02/10/2012,11872,,,Canis familiaris,,Z-12-208,Z-12-208
Z-13-020,Asian SEA4,Philippines,,,Sucat,Muntinlupa  ,Metro Manila,National Capital Region,NCR,14.40197636,121.0327847,02/02/2013,11872,,,Canis familiaris,,Z-13-020,Z-13-020
Z-13-036,Asian SEA4,Philippines,,,Upper Bicutan,Taguig  ,Metro Manila,National Capital Region,NCR,14.51469695,121.0660524,25/02/2013,11872,,,Canis familiaris,,Z-13-036,Z-13-036
Z-13-073,Asian SEA4,Philippines,,,Bf Homes,Parañaque City,Metro Manila,National Capital Region,NCR,14.48357034,121.0147858,12/04/2013,11872,,,Canis familiaris,,Z-13-073,Z-13-073
Z-13-096,Asian SEA4,Philippines,,,Bf International,Las Pinas  ,Metro Manila,National Capital Region,NCR,14.4423825,120.9940879,12/05/2013,11872,,,Felis catus,,Z-13-096,Z-13-096
Z-13-098,Asian SEA4,Philippines,,,-,San Juan  ,Metro Manila,National Capital Region,NCR,14.60295528,121.0338172,13/05/2013,11872,,,Canis familiaris,,Z-13-098,Z-13-098
Z-13-134,Asian SEA4,Philippines,,,"Sto. Nino Vill.,Tunasan",Muntinlupa  ,Metro Manila,National Capital Region,NCR,14.40197636,121.0327847,10/06/2013,11872,,,Canis familiaris,,Z-13-134,Z-13-134
Z-14-101,Asian SEA4,Philippines,,,Upper Bicutan,Taguig  ,Metro Manila,National Capital Region,NCR,14.51469695,121.0660524,04/05/2014,11872,,,Canis familiaris,,Z-14-101,Z-14-101
Z-14-126,Asian SEA4,Philippines,,,Talon 5,Las Pinas  ,Metro Manila,National Capital Region,NCR,14.4423825,120.9940879,31/05/2014,11872,,,Canis familiaris,,Z-14-126,Z-14-126
Z-15-009,Asian SEA4,Philippines,,,South Triangle,Quezon City,Metro Manila,National Capital Region,NCR,14.67428047,121.0574986,16/01/2015,11872,,,Canis familiaris,,Z-15-009,Z-15-009
Z-16-150,Asian SEA4,Philippines,,,Putatan,Muntinlupa  ,Metro Manila,National Capital Region,NCR,14.40197636,121.0327847,05/09/2016,11872,,,Canis familiaris,,Z-16-150,Z-16-150
Z-16-210,Asian SEA4,Philippines,,,Almanza 2,Las Pinas  ,Metro Manila,National Capital Region,NCR,14.4423825,120.9940879,16/12/2016,11872,,,Canis familiaris,,Z-16-210,Z-16-210
Z-17-174,Asian SEA4,Philippines,,,Poblacion,Muntinlupa ,Metro Manila,National Capital Region,NCR,14.40197636,121.0327847,23/09/2017,11872,,,Canis familiaris,,Z-17-174,Z-17-174
Z-18-224,Asian SEA4,Philippines,,,Camarin Rd.,Caloocan  ,Metro Manila,National Capital Region,NCR,14.74647256,121.0486805,28/10/2018,11872,,,Canis familiaris,,Z-18-224,Z-18-224
Z-20-24,Asian SEA4,Philippines,,,Bayanan,Muntinlupa  ,Metro Manila,National Capital Region,NCR,14.40197636,121.0327847,14/02/2020,11872,,,Canis familiaris,,Z-20-24,Z-20-24
Z-20-33,Asian SEA4,Philippines,,,F.B. Harizon Edsa,Pasay City,Metro Manila,National Capital Region,NCR,14.53080944,121.0041508,18/02/2020,11872,,,Canis familiaris,,Z-20-33,Z-20-33
Z-98-454,Asian SEA4,Philippines,,,Betterliving Subd,Parañaque City,Metro Manila,National Capital Region,NCR,14.48357034,121.0147858,04/05/1998,11872,,,Canis familiaris,,Z-98-454,Z-98-454
Z-98-515,Asian SEA4,Philippines,,,Cupang,Muntinlupa,Metro Manila,National Capital Region,NCR,14.40197636,121.0327847,20/05/1998,11872,,,Canis familiaris,,Z-98-515,Z-98-515
Z-98-838,Asian SEA4,Philippines,,,Upper Bicutan,Taguig,Metro Manila,National Capital Region,NCR,14.51469695,121.0660524,09/08/1998,11872,,,Canis familiaris,,Z-98-838,Z-98-838
AB563909,Asian SEA4,Philippines,2008,2008,,Lingayen,Pangasinan,Ilocos Region,Region I,,,03/12/2008,1575,03-Apr-13,30-Jul-13,Canis lupus familiaris,23593515,RV/R1.PHL/2008/TRa-094,RV/R1.PHL/2008/TRa-094
AB563951,Asian SEA4,Philippines,2009,2009,,Asingan,Pangasinan,Ilocos Region,Region I,,,05/03/2009,1575,03-Apr-13,25-Jun-13,Canis lupus familiaris,23593515,RV/R1.PHL/2009/TRa-150,RV/R1.PHL/2009/TRa-150
AB563952,Asian SEA4,Philippines,2009,2009,,Asingan,Pangasinan,Ilocos Region,Region I,,,05/03/2009,1575,03-Apr-13,25-Jun-13,Canis lupus familiaris,23593515,RV/R1.PHL/2009/TRa-151,RV/R1.PHL/2009/TRa-151
AB563956,Asian SEA4,Philippines,2009,2009,,San Jacinto,Pangasinan,Ilocos Region,Region I,,,02/04/2009,1575,03-Apr-13,30-Jul-13,Canis lupus familiaris,23593515,RV/R1.PHL/2009/TRa-159,RV/R1.PHL/2009/TRa-159
AB563981,Asian SEA4,Philippines,2009,2009,,San Carlos City,Pangasinan,Ilocos Region,Region I,,,27/04/2009,1575,03-Apr-13,30-Jul-13,Canis lupus familiaris,23593515,RV/R1.PHL/2009/TRa-208,RV/R1.PHL/2009/TRa-208
AB563982,Asian SEA4,Philippines,2009,2009,,Pozorrubio,Pangasinan,Ilocos Region,Region I,,,11/05/2009,1575,03-Apr-13,30-Jul-13,Canis lupus familiaris,23593515,RV/R1.PHL/2009/TRa-209,RV/R1.PHL/2009/TRa-209
AB563983,Asian SEA4,Philippines,2009,2009,,Urdaneta,Pangasinan,Ilocos Region,Region I,,,25/05/2009,1575,03-Apr-13,30-Jul-13,Canis lupus familiaris,23593515,RV/R1.PHL/2009/TRa-210,RV/R1.PHL/2009/TRa-210
AB563984,Asian SEA4,Philippines,2009,2009,,Binmaley,Pangasinan,Ilocos Region,Region I,,,10/06/2009,1575,03-Apr-13,30-Jul-13,Canis lupus familiaris,23593515,RV/R1.PHL/2009/TRa-213,RV/R1.PHL/2009/TRa-213
AB563985,Asian SEA4,Philippines,2009,2009,,Bani,Pangasinan,Ilocos Region,Region I,,,15/06/2009,1575,03-Apr-13,30-Jul-13,Canis lupus familiaris,23593515,RV/R1.PHL/2009/TRa-214,RV/R1.PHL/2009/TRa-214
AB563986,Asian SEA4,Philippines,2009,2009,,Manaoag,Pangasinan,Ilocos Region,Region I,,,17/06/2009,1575,03-Apr-13,30-Jul-13,Canis lupus familiaris,23593515,RV/R1.PHL/2009/TRa-215,RV/R1.PHL/2009/TRa-215
AB563987,Asian SEA4,Philippines,2009,2009,,Aringay,La Union,Ilocos Region,Region I,,,29/06/2009,1575,03-Apr-13,30-Jul-13,Canis lupus familiaris,23593515,RV/R1.PHL/2009/TRa-216,RV/R1.PHL/2009/TRa-216
AB563988,Asian SEA4,Philippines,2009,2009,,San Fernando,La Union,Ilocos Region,Region I,,,13/07/2009,1575,03-Apr-13,30-Jul-13,Canis lupus familiaris,23593515,RV/R1.PHL/2009/TRa-218,RV/R1.PHL/2009/TRa-218
AB563989,Asian SEA4,Philippines,2009,2009,,Urbiztondo,Pangasinan,Ilocos Region,Region I,,,20/07/2009,1575,03-Apr-13,30-Jul-13,Canis lupus familiaris,23593515,RV/R1.PHL/2009/TRa-219,RV/R1.PHL/2009/TRa-219
AB563991,Asian SEA4,Philippines,2009,2009,,San Carlos City,Pangasinan,Ilocos Region,Region I,,,23/07/2009,1575,03-Apr-13,30-Jul-13,Canis lupus familiaris,23593515,RV/R1.PHL/2009/TRa-221,RV/R1.PHL/2009/TRa-221
AB563999,Asian SEA4,Philippines,2009,2009,,Bontoc,IlocosSur,Ilocos Region,Region I,,,16/09/2009,1575,03-Apr-13,30-Jul-13,Canis lupus familiaris,23593515,RV/R1.PHL/2009/TRa-233,RV/R1.PHL/2009/TRa-233
AB683599,Asian SEA4,Philippines,2009,2009,,,Pangasinan,Ilocos Region,Region I,,,11/03/2009,1124,03-Apr-13,25-Jun-13,Canis lupus familiaris,23593515,RV/R1.PHL/2009/TRa-153,RV/R1.PHL/2009/TRa-153
AB683600,Asian SEA4,Philippines,2009,2009,,,Pangasinan,Ilocos Region,Region I,,,13/03/2009,1124,03-Apr-13,29-May-13,Canis lupus familiaris,23593515,RV/R1.PHL/2009/TRa-154,RV/R1.PHL/2009/TRa-154
AB683601,Asian SEA4,Philippines,2009,2009,,,Pangasinan,Ilocos Region,Region I,,,23/03/2009,1124,03-Apr-13,25-Jun-13,Canis lupus familiaris,23593515,RV/R1.PHL/2009/TRa-156,RV/R1.PHL/2009/TRa-156
AB683602,Asian SEA4,Philippines,2009,2009,,,Pangasinan,Ilocos Region,Region I,,,31/03/2009,1124,03-Apr-13,29-May-13,Canis lupus familiaris,23593515,RV/R1.PHL/2009/TRa-157,RV/R1.PHL/2009/TRa-157
AB683604,Asian SEA4,Philippines,2009,2009,,,Pangasinan,Ilocos Region,Region I,,,13/04/2009,1124,03-Apr-13,29-May-13,Canis lupus familiaris,23593515,RV/R1.PHL/2009/TRa-161,RV/R1.PHL/2009/TRa-161
AB683607,Asian SEA4,Philippines,2009,2009,,,Pangasinan,Ilocos Region,Region I,,,22/07/2009,1124,03-Apr-13,29-May-13,Canis lupus familiaris,23593515,RV/R1.PHL/2009/TRa-220,RV/R1.PHL/2009/TRa-220
AB733964,Asian SEA4,Philippines,2009,2009,,San Manuel,Pangasinan,Ilocos Region,Region I,,,03/08/2009,1575,03-Apr-13,25-Jun-13,Canis lupus familiaris,23593515,RV/R1.PHL/2009/TRa-256,RV/R1.PHL/2009/TRa-256
AB733965,Asian SEA4,Philippines,2009,2009,,Bani,Pangasinan,Ilocos Region,Region I,,,11/08/2009,1575,03-Apr-13,25-Jun-13,Canis lupus familiaris,23593515,RV/R1.PHL/2009/TRa-257,RV/R1.PHL/2009/TRa-257
AB733966,Asian SEA4,Philippines,2009,2009,,Agno,Pangasinan,Ilocos Region,Region I,,,18/08/2009,1575,03-Apr-13,25-Jun-13,Canis lupus familiaris,23593515,RV/R1.PHL/2009/TRa-258,RV/R1.PHL/2009/TRa-258
AB733967,Asian SEA4,Philippines,2009,2009,,San Carlos City,Pangasinan,Ilocos Region,Region I,,,14/08/2009,1575,03-Apr-13,25-Jun-13,Canis lupus familiaris,23593515,RV/R1.PHL/2009/TRa-259,RV/R1.PHL/2009/TRa-259
AB733968,Asian SEA4,Philippines,2009,2009,,Alcala,Pangasinan,Ilocos Region,Region I,,,17/08/2009,1575,03-Apr-13,25-Jun-13,Canis lupus familiaris,23593515,RV/R1.PHL/2009/TRa-260,RV/R1.PHL/2009/TRa-260
AB733969,Asian SEA4,Philippines,2009,2009,,Dagupan City,Pangasinan,Ilocos Region,Region I,,,14/10/2009,1575,03-Apr-13,25-Jun-13,Canis lupus familiaris,23593515,RV/R1.PHL/2009/TRa-263,RV/R1.PHL/2009/TRa-263
AB733970,Asian SEA4,Philippines,2009,2009,,Tagudin,IlocosSur,Ilocos Region,Region I,,,21/10/2009,1575,03-Apr-13,25-Jun-13,Canis lupus familiaris,23593515,RV/R1.PHL/2009/TRa-265,RV/R1.PHL/2009/TRa-265
AB733971,Asian SEA4,Philippines,2010,2010,,Suyo,IlocosSur,Ilocos Region,Region I,,,04/01/2010,1575,03-Apr-13,25-Jun-13,Canis lupus familiaris,23593515,RV/R1.PHL/2010/TRa-286,RV/R1.PHL/2010/TRa-286
AB733972,Asian SEA4,Philippines,2010,2010,,San Carlos City,Pangasinan,Ilocos Region,Region I,,,11/01/2010,1575,03-Apr-13,25-Jun-13,Canis lupus familiaris,23593515,RV/R1.PHL/2010/TRa-299,RV/R1.PHL/2010/TRa-299
AB733973,Asian SEA4,Philippines,2010,2010,,Alcala,Pangasinan,Ilocos Region,Region I,,,15/02/2010,1575,03-Apr-13,25-Jun-13,Canis lupus familiaris,23593515,RV/R1.PHL/2010/TRa-300,RV/R1.PHL/2010/TRa-300
AB771911,Asian SEA4,Philippines,2009,2009,,Dagupan City,Pangasinan,Ilocos Region,Region I,,,01/09/2009,698,29-May-13,29-May-13,Canis lupus familiaris,23593515,RV/R1.PHL/2009/TRa-262,RV/R1.PHL/2009/TRa-262
AB771912,Asian SEA4,Philippines,2009,2009,,Urdaneta,Pangasinan,Ilocos Region,Region I,,,01/11/2009,698,29-May-13,29-May-13,Canis lupus familiaris,23593515,RV/R1.PHL/2009/TRa-266,RV/R1.PHL/2009/TRa-266
AB771913,Asian SEA4,Philippines,2009,2009,,San Manuel,Pangasinan,Ilocos Region,Region I,,,01/12/2009,698,29-May-13,29-May-13,Canis lupus familiaris,23593515,RV/R1.PHL/2009/TRa-267,RV/R1.PHL/2009/TRa-267
AB771914,Asian SEA4,Philippines,2010,2010,,Vigan ,IlocosSur,Ilocos Region,Region I,,,02/01/2010,698,29-May-13,29-May-13,Canis lupus familiaris,23593515,RV/R1.PHL/2010/TRa-287,RV/R1.PHL/2010/TRa-287
AB771915,Asian SEA4,Philippines,2010,2010,,Laoac,Pangasinan,Ilocos Region,Region I,,,03/01/2010,698,29-May-13,29-May-13,Canis lupus familiaris,23593515,RV/R1.PHL/2010/TRa-298,RV/R1.PHL/2010/TRa-298
LC018497,Asian SEA4,Philippines,2012,2012,,Bolinao,Pangasinan,Ilocos Region,Region I,,,06/01/2012,1575,22-Dec-15,22-Dec-15,Canis lupus familiaris,26656835,RV/R1.PHL/2012/TRa-320,RV/R1.PHL/2012/TRa-320
LC018498,Asian SEA4,Philippines,2012,2012,,Alaminos,Pangasinan,Ilocos Region,Region I,14.04459696,121.2475488,17/02/2012,1575,22-Dec-15,22-Dec-15,Canis lupus familiaris,26656835,RV/R1.PHL/2012/TRa-323,RV/R1.PHL/2012/TRa-323
LC018499,Asian SEA4,Philippines,2012,2012,,Bolinao,Pangasinan,Ilocos Region,Region I,,,11/03/2012,1575,22-Dec-15,22-Dec-15,Canis lupus familiaris,26656835,RV/R1.PHL/2012/TRa-324,RV/R1.PHL/2012/TRa-324
