"Sample.ID","Region","Province"
"RV/R3.PHL/2008/TRa-016","Central Luzon","Zambales"
"RV/R3.PHL/2008/TRa-018","Central Luzon","Zambales"
"RV/R3.PHL/2008/TRa-019","Central Luzon","Pampanga"
"RV/R3.PHL/2008/TRa-020","Central Luzon","Pampanga"
"RV/R3.PHL/2008/TRa-021","Central Luzon","Nueva Ecija"
"RV/R3.PHL/2008/TRa-022","Central Luzon","Pampanga"
"RV/R10.PHL/2008/TRa-024","Northern Mindanao","Misamis Oriental"
"RV/R10.PHL/2008/TRa-025","Northern Mindanao","Misamis Oriental"
"RV/R10.PHL/2008/TRa-026","Northern Mindanao","Misamis Oriental"
"RV/R10.PHL/2008/TRa-027","Northern Mindanao","Misamis Oriental"
"RV/R10.PHL/2008/TRa-028","Northern Mindanao","Misamis Oriental"
"RV/R10.PHL/2008/TRa-030","Northern Mindanao","Misamis Oriental"
"RV/R5.PHL/2008/TRa-031","Bicol Region","Albay"
"RV/R5.PHL/2008/TRa-032","Bicol Region","Albay"
"RV/R5.PHL/2008/TRa-034","Bicol Region","Albay"
"RV/R5.PHL/2008/TRa-036","Bicol Region","Camarines Sur"
"RV/R5.PHL/2008/TRa-037","Bicol Region","Camarines Sur"
"RV/R3.PHL/2008/TRa-038","Central Luzon","Pampanga"
"RV/R3.PHL/2008/TRa-040","Central Luzon","Zambales"
"RV/R3.PHL/2008/TRa-041","Central Luzon","Tarlac"
"RV/R3.PHL/2008/TRa-045","Central Luzon","Pampanga"
"RV/R3.PHL/2008/TRa-047","Central Luzon","Zambales"
"RV/R3.PHL/2008/TRa-048","Central Luzon","Zambales"
"RV/R3.PHL/2008/TRa-049","Central Luzon","Pampanga"
"RV/R3.PHL/2008/TRa-051","Central Luzon","Pampanga"
"RV/R10.PHL/2008/TRa-052","Northern Mindanao","Misamis Oriental"
"RV/R10.PHL/2008/TRa-053","Northern Mindanao","Misamis Oriental"
"RV/R10.PHL/2008/TRa-054","Northern Mindanao","Lanao del Norte"
"RV/R10.PHL/2008/TRa-055","Northern Mindanao","Misamis Oriental"
"RV/R10.PHL/2008/TRa-056","Northern Mindanao","Misamis Oriental"
"RV/R10.PHL/2008/TRa-057","Northern Mindanao","Misamis Oriental"
"RV/R10.PHL/2008/TRa-058","Northern Mindanao","Misamis Oriental"
"RV/R3.PHL/2008/TRa-059","Central Luzon","Pampanga"
"RV/R3.PHL/2008/TRa-060","Central Luzon","Pampanga"
"RV/R3.PHL/2008/TRa-061","Central Luzon","Pampanga"
"RV/R3.PHL/2008/TRa-062","Central Luzon","Nueva Ecija"
"RV/R3.PHL/2008/TRa-063","Central Luzon","Nueva Ecija"
"RV/R3.PHL/2008/TRa-064","Central Luzon","Pampanga"
"RV/R3.PHL/2008/TRa-065","Central Luzon","Nueva Ecija"
"RV/R3.PHL/2008/TRa-066","Central Luzon","Pampanga"
"RV/R5.PHL/2008/TRa-067","Bicol Region","Albay"
"RV/R5.PHL/2008/TRa-071","Bicol Region","Camarines Sur"
"RV/R5.PHL/2008/TRa-072","Bicol Region","Albay"
"RV/R5.PHL/2008/TRa-073","Bicol Region","Sorsogon"
"RV/R7.PHL/2008/TRa-074","Central Visayas","Cebu"
"RV/R7.PHL/2008/TRa-075","Central Visayas","Cebu"
"RV/R7.PHL/2008/TRa-076","Central Visayas","Cebu"
"RV/R7.PHL/2008/TRa-077","Central Visayas","Cebu"
"RV/R7.PHL/2008/TRa-078","Central Visayas","Cebu"
"RV/R7.PHL/2008/TRa-079","Central Visayas","Cebu"
"RV/R7.PHL/2008/TRa-080","Central Visayas","Cebu"
"RV/R7.PHL/2008/TRa-081","Central Visayas","Cebu"
"RV/R7.PHL/2008/TRa-082","Central Visayas","Cebu"
"RV/R7.PHL/2008/TRa-083","Central Visayas","Negros Oriental"
"RV/R7.PHL/2008/TRa-085","Central Visayas",NA
"RV/R3.PHL/2008/TRa-086","Central Luzon","Pampanga"
"RV/R3.PHL/2008/TRa-087","Central Luzon","Pampanga"
"RV/R3.PHL/2008/TRa-088","Central Luzon","Pampanga"
"RV/R3.PHL/2008/TRa-089","Central Luzon","Nueva Ecija"
"RV/R3.PHL/2008/TRa-090","Central Luzon","Pampanga"
"RV/R3.PHL/2008/TRa-091","Central Luzon","Pampanga"
"RV/R3.PHL/2008/TRa-092","Central Luzon","Pampanga"
"RV/R3.PHL/2008/TRa-093","Central Luzon","Pampanga"
"RV/R1.PHL/2008/TRa-094","Ilocos Region","Pangasinan"
"RV/R3.PHL/2008/TRa-095","Central Luzon","Nueva Ecija"
"RV/R7.PHL/2008/TRa-096","Central Visayas","Cebu"
"RV/R7.PHL/2008/TRa-097","Central Visayas","Cebu"
"RV/R7.PHL/2008/TRa-098","Central Visayas","Cebu"
"RV/R7.PHL/2008/TRa-099","Central Visayas","Cebu"
"RV/R7.PHL/2008/TRa-100","Central Visayas","Cebu"
"RV/R7.PHL/2008/TRa-101","Central Visayas","Cebu"
"RV/R7.PHL/2008/TRa-102","Central Visayas","Cebu"
"RV/R7.PHL/2008/TRa-103","Central Visayas","Cebu"
"RV/R10.PHL/2008/TRa-104","Northern Mindanao","Misamis Oriental"
"RV/R10.PHL/2008/TRa-107","Northern Mindanao","Misamis Oriental"
"RV/R10.PHL/2008/TRa-108","Northern Mindanao","Misamis Oriental"
"RV/R10.PHL/2009/TRa-109","Northern Mindanao","Misamis Oriental"
"RV/R10.PHL/2009/TRa-110","Northern Mindanao","Misamis Oriental"
"RV/R3.PHL/2008/TRa-111","Central Luzon","Pampanga"
"RV/R3.PHL/2008/TRa-112","Central Luzon","Pampanga"
"RV/R3.PHL/2009/TRa-113","Central Luzon","Zambales"
"RV/R3.PHL/2009/TRa-114","Central Luzon","Zambales"
"RV/R3.PHL/2009/TRa-115","Central Luzon","Pampanga"
"RV/R3.PHL/2009/TRa-116","Central Luzon","Zambales"
"RV/R3.PHL/2009/TRa-117","Central Luzon","Pampanga"
"RV/R3.PHL/2009/TRa-118","Central Luzon","Pampanga"
"RV/R3.PHL/2008/TRa-119","Central Luzon","Zambales"
"RV/R5.PHL/2008/TRa-120","Bicol Region","Catanduanes"
"RV/R5.PHL/2008/TRa-121","Bicol Region","Camarines Sur"
"RV/R5.PHL/2008/TRa-122","Bicol Region","Albay"
"RV/R5.PHL/2008/TRa-123","Bicol Region","Catanduanes"
"RV/R3.PHL/2009/TRa-127","Central Luzon","Pampanga"
"RV/R3.PHL/2009/TRa-128","Central Luzon","Nueva Ecija"
"RV/R3.PHL/2009/TRa-129","Central Luzon","Pampanga"
"RV/R3.PHL/2009/TRa-130","Central Luzon","Pampanga"
"RV/R3.PHL/2009/TRa-131","Central Luzon","Pampanga"
"RV/R3.PHL/2009/TRa-133","Central Luzon","Pampanga"
"RV/R3.PHL/2009/TRa-134","Central Luzon","Nueva Ecija"
"RV/R3.PHL/2009/TRa-135","Central Luzon","Pampanga"
"RV/R3.PHL/2009/TRa-136","Central Luzon","Nueva Ecija"
"RV/R2.PHL/2009/TRa-142","Cagayan Valley","Cagayan"
"RV/R7.PHL/2009/TRa-143","Central Visayas","Negros Oriental"
"RV/R7.PHL/2009/TRa-144","Central Visayas","Negros Oriental"
"RV/R7.PHL/2009/TRa-145","Central Visayas","Negros Oriental"
"RV/R7.PHL/2009/TRa-147","Central Visayas","Negros Oriental"
"RV/R1.PHL/2009/TRa-150","Ilocos Region","Pangasinan"
"RV/R1.PHL/2009/TRa-151","Ilocos Region","Pangasinan"
"RV/R1.PHL/2009/TRa-153","Ilocos Region","Pangasinan"
"RV/R1.PHL/2009/TRa-154","Ilocos Region","Pangasinan"
"RV/R1.PHL/2009/TRa-157","Ilocos Region","Pangasinan"
"RV/R1.PHL/2009/TRa-159","Ilocos Region","Pangasinan"
"RV/R1.PHL/2009/TRa-161","Ilocos Region","Pangasinan"
"RV/R7.PHL/2009/TRa-164","Central Visayas","Negros Oriental"
"RV/R7.PHL/2009/TRa-165","Central Visayas","Negros Oriental"
"RV/R7.PHL/2009/TRa-166","Central Visayas","Cebu"
"RV/R7.PHL/2009/TRa-167","Central Visayas","Cebu"
"RV/R7.PHL/2009/TRa-168","Central Visayas","Cebu"
"RV/R7.PHL/2009/TRa-170","Central Visayas","Cebu"
"RV/R7.PHL/2009/TRa-172","Central Visayas","Cebu"
"RV/R7.PHL/2009/TRa-173","Central Visayas","Cebu"
"RV/R7.PHL/2009/TRa-176","Central Visayas","Cebu"
"RV/R7.PHL/2009/TRa-177","Central Visayas","Cebu"
"RV/R7.PHL/2009/TRa-178","Central Visayas","Cebu"
"RV/R5.PHL/2009/TRa-183","Bicol Region","Albay"
"RV/R10.PHL/2009/TRa-191","Northern Mindanao","Misamis Oriental"
"RV/R10.PHL/2009/TRa-196","Northern Mindanao","Misamis Oriental"
"RV/R10.PHL/2009/TRa-197","Northern Mindanao","Misamis Oriental"
"RV/CAR.PHL/2009/TRa-198","Cordillera Administrative Region","Mountain Province"
"RV/CAR.PHL/2009/TRa-199","Cordillera Administrative Region","Mountain Province"
"RV/CAR.PHL/2009/TRa-200","Cordillera Administrative Region","Mountain Province"
"RV/R3.PHL/2009/TRa-201","Central Luzon","Nueva Ecija"
"RV/R3.PHL/2009/TRa-202","Central Luzon","Zambales"
"RV/R3.PHL/2009/TRa-204","Central Luzon","Pampanga"
"RV/R3.PHL/2009/TRa-205","Central Luzon","Nueva Ecija"
"RV/R3.PHL/2009/TRa-206","Central Luzon","Pampanga"
"RV/R1.PHL/2009/TRa-208","Ilocos Region","Pangasinan"
"RV/R1.PHL/2009/TRa-209","Ilocos Region","Pangasinan"
"RV/R1.PHL/2009/TRa-210","Ilocos Region","Pangasinan"
"RV/R1.PHL/2009/TRa-213","Ilocos Region","Pangasinan"
"RV/R1.PHL/2009/TRa-214","Ilocos Region","Pangasinan"
"RV/R1.PHL/2009/TRa-215","Ilocos Region","Pangasinan"
"RV/R1.PHL/2009/TRa-216","Ilocos Region","La Union"
"RV/R1.PHL/2009/TRa-218","Ilocos Region","La Union"
"RV/R1.PHL/2009/TRa-219","Ilocos Region","Pangasinan"
"RV/R1.PHL/2009/TRa-220","Ilocos Region","Pangasinan"
"RV/R1.PHL/2009/TRa-221","Ilocos Region","Pangasinan"
"RV/CAR.PHL/2009/TRa-222","Cordillera Administrative Region","Mountain Province"
"RV/CAR.PHL/2009/TRa-224","Cordillera Administrative Region","Ifugao"
"RV/R5.PHL/2009/TRa-225","Bicol Region","Albay"
"RV/R5.PHL/2009/TRa-226","Bicol Region","Albay"
"RV/R5.PHL/2009/TRa-227","Bicol Region","Albay"
"RV/R5.PHL/2009/TRa-229","Bicol Region","Catanduanes"
"RV/R5.PHL/2009/TRa-231","Bicol Region","Camarines Norte"
"RV/R1.PHL/2009/TRa-233","Ilocos Region","Ilocos Sur"
"RV/CAR.PHL/2009/TRa-234","Cordillera Administrative Region",NA
"RV/R7.PHL/2009/TRa-235","Central Visayas","Negros Oriental"
"RV/R7.PHL/2009/TRa-236","Central Visayas","Negros Oriental"
"RV/R7.PHL/2009/TRa-237","Central Visayas","Negros Oriental"
"RV/R7.PHL/2009/TRa-238","Central Visayas","Negros Oriental"
"RV/R7.PHL/2009/TRa-239","Central Visayas","Negros Oriental"
"RV/R7.PHL/2009/TRa-240","Central Visayas","Negros Oriental"
"RV/R7.PHL/2009/TRa-241","Central Visayas","Negros Oriental"
"RV/R10.PHL/2009/TRa-242","Northern Mindanao","Misamis Oriental"
"RV/R10.PHL/2009/TRa-243","Northern Mindanao","Misamis Oriental"
"RV/R10.PHL/2009/TRa-244","Northern Mindanao","Misamis Oriental"
"RV/R10.PHL/2009/TRa-246","Northern Mindanao","Misamis Oriental"
"RV/R10.PHL/2009/TRa-248","Northern Mindanao","Misamis Oriental"
"RV/R10.PHL/2009/TRa-249","Northern Mindanao","Misamis Oriental"
"RV/R10.PHL/2009/TRa-250","Northern Mindanao","Misamis Oriental"
"RV/R10.PHL/2009/TRa-251","Northern Mindanao","Lanao del Norte"
"RV/R10.PHL/2009/TRa-252","Northern Mindanao","Misamis Oriental"
"RV/R10.PHL/2009/TRa-253","Northern Mindanao","Misamis Oriental"
"RV/R10.PHL/2009/TRa-254","Northern Mindanao","Misamis Oriental"
"RV/R10.PHL/2009/TRa-255","Northern Mindanao","Misamis Oriental"
"RV/NCR.PHL/2004/Z-04-522","National Capital Region","Metropolitan Manila"
"RV/R3.PHL/2008/TRa-017","Central Luzon","Pampanga"
"RV/R3.PHL/2009/TRa-132","Central Luzon","Nueva Ecija"
"RV/R4A.PHL/2004/Z-04-470","Calabarzon","Laguna"
"RV/R7.PHL/2008/TRa-084","Central Visayas","Negros Oriental"
"RV/R10.PHL/2009/TRa-184","Northern Mindanao","Misamis Oriental"
"RV/R10.PHL/2009/TRa-186","Northern Mindanao","Misamis Oriental"
"RV/R10.PHL/2009/TRa-189","Northern Mindanao","Misamis Oriental"
"RV/CAR.PHL/2009/TRa-198","Cordillera Administrative Region","Mountain Province"
"RV/CAR.PHL/2009/TRa-199","Cordillera Administrative Region","Mountain Province"
"RV/CAR.PHL/2009/TRa-200","Cordillera Administrative Region","Mountain Province"
"RV/NCR.PHL/2005/Z-05-009","National Capital Region","Metropolitan Manila"
"RV/NCR.PHL/2005/Z-05-285","National Capital Region","Metropolitan Manila"
"RV/NCR.PHL/2005/Z-05-466","National Capital Region","Metropolitan Manila"
"RV/R1.PHL/2009/TRa-151","Ilocos Region","Pangasinan"
"RV/R1.PHL/2009/TRa-153","Ilocos Region","Pangasinan"
"RV/R1.PHL/2009/TRa-154","Ilocos Region","Pangasinan"
"RV/R1.PHL/2009/TRa-156","Ilocos Region","Pangasinan"
"RV/R1.PHL/2009/TRa-157","Ilocos Region","Pangasinan"
"RV/R1.PHL/2009/TRa-159","Ilocos Region","Pangasinan"
"RV/R1.PHL/2009/TRa-161","Ilocos Region","Pangasinan"
"RV/R1.PHL/2009/TRa-214","Ilocos Region","Pangasinan"
"RV/R1.PHL/2009/TRa-219","Ilocos Region","Pangasinan"
"RV/R1.PHL/2009/TRa-220","Ilocos Region","Pangasinan"
"RV/R1.PHL/2009/TRa-221","Ilocos Region","Pangasinan"
"RV/R10.PHL/2008/TRa-024","Northern Mindanao","Misamis Oriental"
"RV/R10.PHL/2008/TRa-055","Northern Mindanao","Misamis Oriental"
"RV/R10.PHL/2008/TRa-058","Northern Mindanao","Misamis Oriental"
"RV/R10.PHL/2008/TRa-104","Northern Mindanao","Misamis Oriental"
"RV/R10.PHL/2008/TRa-107","Northern Mindanao","Misamis Oriental"
"RV/R10.PHL/2009/TRa-109","Northern Mindanao","Misamis Oriental"
"RV/R10.PHL/2009/TRa-191","Northern Mindanao","Misamis Oriental"
"RV/R2.PHL/2009/TRa-142","Cagayan Valley","Cagayan"
"RV/R3.PHL/2005/Z-05-198","Central Luzon","Nueva Ecija"
"RV/R3.PHL/2008/TRa-018","Central Luzon","Zambales"
"RV/R3.PHL/2008/TRa-038","Central Luzon","Pampanga"
"RV/R3.PHL/2008/TRa-062","Central Luzon","Nueva Ecija"
"RV/R3.PHL/2008/TRa-088","Central Luzon","Pampanga"
"RV/R3.PHL/2008/TRa-112","Central Luzon","Zambales"
"RV/R3.PHL/2009/TRa-132","Central Luzon","Nueva Ecija"
"RV/R3.PHL/2009/TRa-133","Central Luzon","Pampanga"
"RV/R3.PHL/2009/TRa-201","Central Luzon","Nueva Ecija"
"RV/R3.PHL/2009/TRa-205","Central Luzon","Nueva Ecija"
"RV/R3.PHL/2009/TRa-206","Central Luzon","Pampanga"
"RV/CAR.PHL/2009/TRa-222","Cordillera Administrative Region","Mountain Province"
"RV/R4A.PHL/2007/Z-07-189","Calabarzon","Cavite"
"RV/R4A.PHL/2007/Z-07-243","Calabarzon","Cavite"
"RV/R4A.PHL/2007/Z-07-252","Calabarzon","Quezon"
"RV/R5.PHL/2008/TRa-034","Bicol Region","Albay"
"RV/R5.PHL/2008/TRa-067","Bicol Region","Albay"
"RV/R5.PHL/2008/TRa-071","Bicol Region","Camarines Sur"
"RV/R5.PHL/2008/TRa-072","Bicol Region","Albay"
"RV/R5.PHL/2008/TRa-073","Bicol Region","Sorsogon"
"RV/R5.PHL/2008/TRa-120","Bicol Region","Catanduanes"
"RV/R5.PHL/2008/TRa-122","Bicol Region","Albay"
"RV/R5.PHL/2008/TRa-123","Bicol Region","Catanduanes"
"RV/R5.PHL/2009/TRa-183","Bicol Region","Albay"
"RV/R7.PHL/2008/TRa-074","Central Visayas","Cebu"
"RV/R7.PHL/2008/TRa-079","Central Visayas","Cebu"
"RV/R7.PHL/2009/TRa-144","Central Visayas","Negros Oriental"
"RV/R7.PHL/2009/TRa-168","Central Visayas","Cebu"
"RV/R7.PHL/2009/TRa-173","Central Visayas","Cebu"
"RV/R7.PHL/2009/TRa-176","Central Visayas","Cebu"
"RV/R10.PHL/2009/TRa-186","Northern Mindanao","Misamis Oriental"
"RV/R10.PHL/2009/TRa-194","Northern Mindanao","Misamis Oriental"
"RV/R10.PHL/2009/TRa-195","Northern Mindanao","Misamis Oriental"
"RV/R3.PHL/2008/TRa-002","Central Luzon","Pampanga"
"RV/R5.PHL/2008/TRa-005","Bicol Region","Albay"
"RV/R7.PHL/2009/TRa-179","Central Visayas","Cebu"
"RV/R4B.PHL/2006/Z-06-197","Calabarzon","Batangas"
"RV/R4B.PHL/2006/Z-06-408","Southwestern Tagalog Region","Oriental Mindoro"
"RV/CAR.PHL/2009/TRa-285","Cordillera Administrative Region","Mountain Province"
"RV/CAR.PHL/2010/TRa-289","Cordillera Administrative Region","Ifugao"
"RV/NCR.PHL/2004/Z-04-646","National Capital Region","Metropolitan Manila"
"RV/R1.PHL/2009/TRa-256","Ilocos Region","Pangasinan"
"RV/R1.PHL/2009/TRa-257","Ilocos Region","Pangasinan"
"RV/R1.PHL/2009/TRa-258","Ilocos Region","Pangasinan"
"RV/R1.PHL/2009/TRa-259","Ilocos Region","Pangasinan"
"RV/R1.PHL/2009/TRa-260","Ilocos Region","Pangasinan"
"RV/R1.PHL/2009/TRa-263","Ilocos Region","Pangasinan"
"RV/R1.PHL/2009/TRa-265","Ilocos Region","Ilocos Sur"
"RV/R1.PHL/2010/TRa-286","Ilocos Region","Ilocos Sur"
"RV/R1.PHL/2010/TRa-299","Ilocos Region","Pangasinan"
"RV/R1.PHL/2010/TRa-300","Ilocos Region","Pangasinan"
"RV/R2.PHL/2009/TRa-279","Cagayan Valley","Isabela"
"RV/R2.PHL/2009/TRa-283","Cagayan Valley","Isabela"
"RV/R2.PHL/2009/TRa-284","Cagayan Valley","Isabela"
"RV/R5.PHL/2009/TRa-268","Bicol Region","Sorsogon"
"RV/R5.PHL/2009/TRa-272","Bicol Region","Albay"
"RV/R5.PHL/2009/TRa-273","Bicol Region","Albay"
"RV/R4B.PHL/2006/Z-06-203","Southwestern Tagalog Region","Oriental Mindoro"
"RV/R4A.PHL/2006/Z-06-222","Calabarzon","Cavite"
"RV/CAR.PHL/2010/TRa-291","Cordillera Administrative Region","Kalinga"
"RV/R1.PHL/2009/TRa-262","Ilocos Region","Pangasinan"
"RV/R1.PHL/2009/TRa-266","Ilocos Region","Pangasinan"
"RV/R1.PHL/2009/TRa-267","Ilocos Region","Pangasinan"
"RV/R1.PHL/2010/TRa-287","Ilocos Region","Ilocos Sur"
"RV/R1.PHL/2010/TRa-298","Ilocos Region","Pangasinan"
"RV/R5.PHL/2009/TRa-269","Bicol Region","Catanduanes"
"RV/R5.PHL/2009/TRa-271","Bicol Region","Camarines Norte"
"RV/R10.PHL/2009/TRa-194","Northern Mindanao","Misamis Oriental"
"RV/R10.PHL/2009/TRa-195","Northern Mindanao","Misamis Oriental"
"RV/R10.PHL/2009/TRa-247","Northern Mindanao","Misamis Oriental"
"RV/R1.PHL/2009/TRa-156","Ilocos Region","Pangasinan"
"RV/R7.PHL/2009/TRa-179","Central Visayas","Cebu"
"V1371PHIL",NA,NA
"V1374PHIL",NA,NA
"V1375PHIL",NA,NA
"V1373PHIL",NA,NA
"V1372PHIL",NA,NA
"04030PHI",NA,NA
"94270PHI",NA,NA
"94273PHI",NA,NA
"94280PHI",NA,NA
"03006PHI",NA,NA
"03007PHI",NA,NA
"04030PHI",NA,NA
"A12_1952",NA,NA
"A12_1959",NA,NA
"A12_1964",NA,NA
"A12_1969",NA,NA
"A12_1973",NA,NA
"A12_1977",NA,NA
"A12_1978",NA,NA
"Philippin_dog",NA,NA
"03006PHI",NA,NA
"03007PHI",NA,NA
"94270PHI",NA,NA
"94273PHI",NA,NA
"94280PHI",NA,NA
"94272PHI",NA,NA
"04030PHI",NA,NA
"94281PHI",NA,NA
"94278PHI",NA,NA
"94275PHI",NA,NA
"RV/R3.PHL/2012/TRa-302","Central Luzon","Tarlac"
