ID,year,country,assignment,NCBI.accession,Sample.collection.date,Host.species,Region,Province,Municipality,Barangay,Location,source,corrected_date,decimal_date,outbreak
18-118,2018,Philippines,SEA4,OQ326758,2018,Canine,Davao Region,NA,Digos Cogon,NA,NA,genbank,1/1/18,2018,Other
18-120,2018,Philippines,SEA4,OQ326762,2018,Canine,Davao Region,NA,Davao,NA,NA,genbank,1/1/18,2018,Other
18-121,2018,Philippines,SEA4,OQ326766,2018,Canine,Davao Region,NA,Davao,NA,NA,genbank,1/1/18,2018,Other
18-130,2018,Philippines,SEA4,OQ326759,2018,Canine,Davao Region,NA,Davao,NA,NA,genbank,1/1/18,2018,Other
18-133,2018,Philippines,SEA4,OQ326760,2018,Canine,Davao Region,NA,Tagum,NA,NA,genbank,1/1/18,2018,Other
18-135,2018,Philippines,SEA4,OQ326767,2018,Canine,Davao Region,NA,Davao,NA,NA,genbank,1/1/18,2018,Other
18-138,2018,Philippines,SEA4,OQ326748,2018,Canine,Davao Region,NA,Davao,NA,NA,genbank,1/1/18,2018,Other
18-142,2018,Philippines,SEA4,OQ326784,2018,Canine,Davao Region,NA,Nabunturan,NA,NA,genbank,1/1/18,2018,Other
18-144,2018,Philippines,SEA4,OQ326776,2018,Canine,Davao Region,NA,Davao,NA,NA,genbank,1/1/18,2018,Other
18-147,2018,Philippines,SEA4,OQ326772,2018,Canine,Davao Region,NA,Davao,NA,NA,genbank,1/1/18,2018,Other
18-151,2018,Philippines,SEA4,OQ326774,2018,Canine,Davao Region,NA,Davao,NA,NA,genbank,1/1/18,2018,Other
18-153,2018,Philippines,SEA4,OQ326773,2018,Canine,Davao Region,NA,Davao,NA,NA,genbank,1/1/18,2018,Other
18-162,2018,Philippines,SEA4,OQ326744,2018,Canine,Davao Region,NA,Samal,NA,NA,genbank,1/1/18,2018,Other
18-163,2018,Philippines,SEA4,OQ326747,2018,Canine,Davao Region,NA,Davao,NA,NA,genbank,1/1/18,2018,Other
18-164,2018,Philippines,SEA4,OQ326738,2018,Canine,Davao Region,NA,Digos,NA,NA,genbank,1/1/18,2018,Other
18-172,2018,Philippines,SEA4,OQ326737,2018,Canine,Davao Region,NA,Davao,NA,NA,genbank,1/1/18,2018,Other
18-174,2018,Philippines,SEA4,OQ326743,2018,Canine,Davao Region,NA,Davao,NA,NA,genbank,1/1/18,2018,Other
18-179,2018,Philippines,SEA4,OQ326775,2018,Canine,Davao Region,NA,Cotabato,NA,NA,genbank,1/1/18,2018,Other
18-181,2018,Philippines,SEA4,OQ326783,2018,Canine,Davao Region,NA,Davao,NA,NA,genbank,1/1/18,2018,Other
18-183,2018,Philippines,SEA4,OQ326777,2018,Canine,Davao Region,NA,Davao,NA,NA,genbank,1/1/18,2018,Other
18-188,2018,Philippines,SEA4,OQ326746,2018,Canine,Davao Region,NA,Davao,NA,NA,genbank,1/1/18,2018,Other
18-191,2018,Philippines,SEA4,OQ326768,2018,Canine,Davao Region,NA,Davao,NA,NA,genbank,1/1/18,2018,Other
18-194,2018,Philippines,SEA4,OQ326780,2018,Canine,Davao Region,NA,Davao,NA,NA,genbank,1/1/18,2018,Other
18-196,2018,Philippines,SEA4,OQ326779,2018,Canine,Davao Region,NA,Davao,NA,NA,genbank,1/1/18,2018,Other
18-199,2018,Philippines,SEA4,OQ326736,2018,Canine,Davao Region,NA,Davao,NA,NA,genbank,1/1/18,2018,Other
18-209,2018,Philippines,SEA4,OQ326781,2018,Canine,Davao Region,NA,Davao,NA,NA,genbank,1/1/18,2018,Other
18-214,2018,Philippines,SEA4,OQ326745,2018,Canine,Davao Region,NA,Davao,NA,NA,genbank,1/1/18,2018,Other
18-216,2018,Philippines,SEA4,OQ326742,2018,Canine,Davao Region,NA,Davao,NA,NA,genbank,1/1/18,2018,Other
18-221,2018,Philippines,SEA4,OQ326782,2018,Canine,Davao Region,NA,Davao,NA,NA,genbank,1/1/18,2018,Other
18-223,2018,Philippines,SEA4,OQ326778,2018,Canine,Davao Region,NA,Davao,NA,NA,genbank,1/1/18,2018,Other
18-224,2018,Philippines,SEA4,OQ326769,2018,Canine,Davao Region,NA,Davao,NA,NA,genbank,1/1/18,2018,Other
18-225,2018,Philippines,SEA4,OQ326771,2018,Canine,Davao Region,NA,Davao,NA,NA,genbank,1/1/18,2018,Other
19-004,2019,Philippines,SEA4,OQ326740,2019,Canine,Davao Region,NA,Davao,NA,NA,genbank,1/1/19,2019,Other
19-011,2019,Philippines,SEA4,OQ326741,2019,Canine,Davao Region,NA,Davao,NA,NA,genbank,1/1/19,2019,Other
19-015,2019,Philippines,SEA4,OQ326739,2019,Canine,Davao Region,NA,Davao,NA,NA,genbank,1/1/19,2019,Other
19-022,2019,Philippines,SEA4,OQ326770,2019,Canine,Davao Region,NA,Davao,NA,NA,genbank,1/1/19,2019,Other
19-045,2019,Philippines,SEA4,OQ326763,2019,Canine,Davao Region,NA,Davao,NA,NA,genbank,1/1/19,2019,Other
19-050,2019,Philippines,SEA4,OQ326765,2019,Canine,Davao Region,NA,Panabo,NA,NA,genbank,1/1/19,2019,Other
4A-22-104,2022,Philippines,SEA4,NA,25/01/2022,Canis familiaris,Calabarzon,Batangas,NA,Sabang,Lipa,this paper,1/25/22,2022.065753,Other
4A-22-171,2022,Philippines,SEA4,NA,6/2/22,Canis familiaris,Calabarzon,Cavite,NA,Buenavista,General Trias,this paper,6/2/22,2022.416438,Other
4A-22-203,2023,Philippines,SEA4,NA,11/2/22,Canis familiaris,Calabarzon,Quezon,NA,Guiang-Guiang,Lucena,this paper,11/2/22,2022.835616,Other
4A-22-40,2023,Philippines,SEA4,NA,10/1/22,Canis familiaris,Calabarzon,Batangas,NA,NA,Batangas,this paper,10/1/22,2022.747945,Other
4A-22-98,2022,Philippines,SEA4,NA,22/01/2022,Canis familiaris,Calabarzon,Quezon,NA,Baguio,Tayabas,this paper,1/22/22,2022.057534,Other
4B-21-126,2021,Philippines,SEA4,NA,26/01/2021,Canis familiaris,Southwestern Tagalog Region,Oriental Mindoro,NA,Sapul,Calapan,this paper,1/26/21,2021.068493,Other
4B-21-29,2022,Philippines,SEA4,NA,9/2/21,Canis familiaris,Southwestern Tagalog Region,Oriental Mindoro,NA,San Narciso,Victoria,this paper,9/2/21,2021.668493,Other
4B-21-310,2022,Philippines,SEA4,NA,10/3/21,Canis familiaris,Southwestern Tagalog Region,Oriental Mindoro,NA,Tabinay,Puerto Galera,this paper,10/3/21,2021.753425,Other
4B-21-35,2021,Philippines,SEA4,NA,5/3/21,Canis familiaris,Southwestern Tagalog Region,Oriental Mindoro,NA,Tabinay,Puerto Galera,this paper,5/3/21,2021.334247,Other
4B-21-412,2022,Philippines,SEA4,NA,12/4/21,Canis familiaris,Southwestern Tagalog Region,Oriental Mindoro,NA,Sto Nino,Puerto Galera,this paper,12/4/21,2021.923288,Other
4B-21-421,2021,Philippines,SEA4,NA,14/04/2021,Canis familiaris,Southwestern Tagalog Region,Oriental Mindoro,NA,Malapad,Baco,this paper,4/14/21,2021.282192,Other
4B-21-423,2021,Philippines,SEA4,NA,23/04/2021,Canis familiaris,Southwestern Tagalog Region,Oriental Mindoro,NA,Camilmil,Calapan,this paper,4/23/21,2021.306849,Other
4B-21-528,2021,Philippines,SEA4,NA,28/05/2021,Canis familiaris,Southwestern Tagalog Region,Oriental Mindoro,NA,Aninuan,Puerto Galera,this paper,5/28/21,2021.40274,Other
4B-21622,2022,Philippines,SEA4,NA,16/02/2022,Canis familiaris,Southwestern Tagalog Region,Oriental Mindoro,NA,Mangangan,Baco,this paper,2/16/22,2022.126027,Other
4B-22-114,2022,Philippines,SEA4,NA,14/01/2022,Canis familiaris,Southwestern Tagalog Region,Oriental Mindoro,NA,Mayabig,Baco,this paper,1/14/22,2022.035616,Other
4B-22-13,2022,Philippines,SEA4,NA,22/04/2022,Canis familiaris,Southwestern Tagalog Region,Oriental Mindoro,NA,Teresita,Mansalay,this paper,4/22/22,2022.30411,Other
4B-22-15,2022,Philippines,SEA4,NA,5/1/22,Canis familiaris,Southwestern Tagalog Region,Oriental Mindoro,NA,San Isidro,Puerto Galera,this paper,5/1/22,2022.328767,Other
4B-22-16,2022,Philippines,SEA4,NA,28/04/2022,Canis familiaris,Southwestern Tagalog Region,Oriental Mindoro,NA,Orcenuma,Bongabong,this paper,4/28/22,2022.320548,Other
4B-22-17,2023,Philippines,SEA4,NA,8/5/22,Canis familiaris,Southwestern Tagalog Region,Oriental Mindoro,NA,Narra,Gloria,this paper,8/5/22,2022.591781,Other
4B-22-20,2022,Philippines,SEA4,NA,19/05/2022,Canis familiaris,Southwestern Tagalog Region,Oriental Mindoro,NA,Don Pedro,Mansalay,this paper,5/19/22,2022.378082,Other
4B-22-21,2022,Philippines,SEA4,NA,31/05/2022,Canis familiaris,Southwestern Tagalog Region,Oriental Mindoro,NA,Panggulayan,Pinamalayan,this paper,5/31/22,2022.410959,Other
4B-22-28,2023,Philippines,SEA4,NA,27/07/2022,Canis familiaris,Southwestern Tagalog Region,Oriental Mindoro,NA,Mangangan,Baco,this paper,7/27/22,2022.567123,Other
4B-22-30,2023,Philippines,SEA4,NA,12/8/22,Canis familiaris,Southwestern Tagalog Region,Oriental Mindoro,NA,Bangkatan,Baco,this paper,12/8/22,2022.934247,Other
4B-22-31,2023,Philippines,SEA4,NA,18/08/2022,Canis familiaris,Southwestern Tagalog Region,Oriental Mindoro,NA,Bayanan,Pola,this paper,8/18/22,2022.627397,Other
4B-22-35,2023,Philippines,SEA4,NA,25/10/2022,Canis familiaris,Southwestern Tagalog Region,Oriental Mindoro,NA,Bagumbayan,Roxas,this paper,10/25/22,2022.813699,Other
4B-22-37,2022,Philippines,SEA4,NA,1/10/22,Canis familiaris,Southwestern Tagalog Region,Romblon,NA,San Isidro,Alcantara,this paper,1/10/22,2022.024658,Romblon_new
4B-22-39,2023,Philippines,SEA4,NA,21/10/2022,Canis familiaris,Southwestern Tagalog Region,Romblon,NA,San Isidro,Alcantara,this paper,10/21/22,2022.80274,Romblon_new
4B-22-40,2022,Philippines,SEA4,NA,2/12/22,Canis familiaris,Southwestern Tagalog Region,Oriental Mindoro,NA,Balugo,Mansalay,this paper,2/12/22,2022.115068,Other
4B-22-41,2023,Philippines,SEA4,NA,24/11/2022,Canis familiaris,Southwestern Tagalog Region,Romblon,NA,Dapawan,Odiongan,this paper,11/24/22,2022.89589,Romblon_new
4B-22-42,2023,Philippines,SEA4,NA,26/11/2022,Canis familiaris,Southwestern Tagalog Region,Romblon,NA,Bonlao,Alcantara,this paper,11/26/22,2022.90137,Romblon_new
4B-22-44,2023,Philippines,SEA4,NA,11/12/22,Canis familiaris,Southwestern Tagalog Region,Romblon,NA,Dapawan,Odiongan,this paper,11/12/22,2022.863014,Romblon_new
4B-22-45,2023,Philippines,SEA4,NA,12/12/22,Canis familiaris,Southwestern Tagalog Region,Romblon,NA,Concepcion Sur,Santa Maria,this paper,12/12/22,2022.945205,Romblon_new
4B-23-01,2023,Philippines,SEA4,NA,20/01/2023,Canis familiaris,Southwestern Tagalog Region,Romblon,NA,Concepcion Norte,Santa Maria,this paper,1/20/23,2023.052055,Romblon_new
4B-23-02,2023,Philippines,SEA4,NA,13/01/2023,Canis familiaris,Southwestern Tagalog Region,Romblon,NA,Dapawan,Odiongan,this paper,1/13/23,2023.032877,Romblon_new
4B-23-03,2023,Philippines,SEA4,NA,22/01/2023,Canis familiaris,Southwestern Tagalog Region,Romblon,NA,Sugod,San Agustin,this paper,1/22/23,2023.057534,Romblon_new
4B-23-04,2023,Philippines,SEA4,NA,31/01/2023,Canis familiaris,Southwestern Tagalog Region,Romblon,NA,Carmen,San Agustin,this paper,1/31/23,2023.082192,Romblon_new
4B-23-05,2023,Philippines,SEA4,NA,20/01/2023,Canis familiaris,Southwestern Tagalog Region,Romblon,NA,Sugod,San Agustin,this paper,1/20/23,2023.052055,Romblon_new
4B-23-06,2023,Philippines,SEA4,NA,2/2/23,Canis familiaris,Southwestern Tagalog Region,Romblon,NA,Concepcion Norte,Santa Maria,this paper,2/2/23,2023.087671,Romblon_new
4B-23-07,2023,Philippines,SEA4,NA,7/2/23,Canis familiaris,Southwestern Tagalog Region,Romblon,NA,Concepcion Sur,Santa Maria,this paper,7/2/23,2023.49863,Romblon_new
4B-23-11,2023,Philippines,SEA4,NA,7/2/23,Canis familiaris,Southwestern Tagalog Region,Romblon,NA,Jun Carlo,San Andres,this paper,7/2/23,2023.49863,Romblon_new
4B-23-12,2023,Philippines,SEA4,NA,14/02/2023,Canis familiaris,Southwestern Tagalog Region,Romblon,NA,Concepcion Norte,Santa Maria,this paper,2/14/23,2023.120548,Romblon_new
4B-23-13,2024,Philippines,SEA4,NA,9/2/23,Canis familiaris,Southwestern Tagalog Region,Romblon,NA,Rizal,Odiongan,this paper,9/2/23,2023.668493,Romblon_new
4B-23-15,2023,Philippines,SEA4,NA,16/02/2023,Canis familiaris,Southwestern Tagalog Region,Romblon,NA,Poctoy,Odiongan,this paper,2/16/23,2023.126027,Romblon_new
4B-23-16,2023,Philippines,SEA4,NA,28/02/2023,Canis familiaris,Southwestern Tagalog Region,Romblon,NA,Dapawan,Odiongan,this paper,2/28/23,2023.158904,Romblon_new
4B-23-17,2023,Philippines,SEA4,NA,1/3/23,Canis familiaris,Southwestern Tagalog Region,Romblon,NA,Poctoy,Odiongan,this paper,1/3/23,2023.005479,Romblon_new
4B-23-19,2023,Philippines,SEA4,NA,1/3/23,Canis familiaris,Southwestern Tagalog Region,Romblon,NA,Mahabang Baybay,San Agustin,this paper,1/3/23,2023.005479,Romblon_new
4B-2422,2022,Philippines,SEA4,NA,4/2/22,Canis familiaris,Southwestern Tagalog Region,Occidental Mindoro,NA,Concepcion,Calintaan,this paper,4/2/22,2022.249315,Other
4B-2922HM,2023,Philippines,SEA4,NA,9/2/22,Canis familiaris,Southwestern Tagalog Region,Oriental Mindoro,NA,Mangangan,Baco,this paper,9/2/22,2022.668493,Other
4B-2922JG,2023,Philippines,SEA4,NA,9/2/22,Canis familiaris,Southwestern Tagalog Region,Oriental Mindoro,NA,Anilao,Bongabong,this paper,9/2/22,2022.668493,Other
55,2019,Philippines,SEA4,LC550027,2019,Canis lupus familiaris,Ilocos Region,Pampanga,NA,NA,"Region III, Pampanga",rabv-glue,1/1/19,2019,Other
66,2019,Philippines,SEA4,LC550026,2019,Canis lupus familiaris,Ilocos Region,Pampanga,NA,NA,"Region III, Pampanga",rabv-glue,1/1/19,2019,Other
87,2019,Philippines,SEA4,LC550025,2019,Canis lupus familiaris,Ilocos Region,Pampanga,NA,NA,"Region III, Pampanga",rabv-glue,1/1/19,2019,Other
93,2019,Philippines,SEA4,LC550024,2019,Canis lupus familiaris,Ilocos Region,Pampanga,NA,NA,"Region III, Pampanga",rabv-glue,1/1/19,2019,Other
94270PHI,1994,Philippines,SEA4,EU086200,1994,Canis familiaris,NA,NA,NA,NA,-,rabv-glue,1/1/94,1994,Other
94272PHI,1994,Philippines,SEA4,KX148259,1994,Canis familiaris,NA,NA,NA,NA,-,rabv-glue,1/1/94,1994,Other
94273PHI,1994,Philippines,SEA4,EU086201,1994,Canis familiaris,NA,NA,NA,NA,-,rabv-glue,1/1/94,1994,Other
94275PHI,1994,Philippines,SEA4,KX148263,1994,Canis familiaris,NA,NA,NA,NA,-,rabv-glue,1/1/94,1994,Other
94278PHI,1994,Philippines,SEA4,KX148262,1994,Canis familiaris,NA,NA,NA,NA,-,rabv-glue,1/1/94,1994,Other
94280PHI,1994,Philippines,SEA4,EU086202,1994,Canis familiaris,NA,NA,NA,NA,-,rabv-glue,1/1/94,1994,Other
94281PHI,1994,Philippines,SEA4,KX148261,1994,Canis familiaris,NA,NA,NA,NA,-,rabv-glue,1/1/94,1994,Other
A12_1952,2009,Philippines,SEA4,KC792091,2009,Canis familiaris,NA,NA,NA,NA,-,rabv-glue,1/1/09,2009,Other
A12_1959,2009,Philippines,SEA4,KC792092,2009,Canis familiaris,NA,NA,NA,NA,-,rabv-glue,1/1/09,2009,Other
A12_1964,2009,Philippines,SEA4,KC792093,2009,Canis familiaris,NA,NA,NA,NA,-,rabv-glue,1/1/09,2009,Other
A12_1969,2009,Philippines,SEA4,KC792094,2009,Canis familiaris,NA,NA,NA,NA,-,rabv-glue,1/1/09,2009,Other
A12_1973,2009,Philippines,SEA4,KC792095,2009,Canis familiaris,NA,NA,NA,NA,-,rabv-glue,1/1/09,2009,Other
A12_1977,2009,Philippines,SEA4,KC792096,2009,Canis familiaris,NA,NA,NA,NA,-,rabv-glue,1/1/09,2009,Other
A12_1978,2009,Philippines,SEA4,KC792097,2009,Canis familiaris,NA,NA,NA,NA,-,rabv-glue,1/1/09,2009,Other
BAI/BAI3/2019-01/fel,2019,Philippines,SEA4,MN857171,2019,feline,National Capital Region,Bulacan,NA,NA,"San Miguel, Bulacan",rabv-glue,1/1/19,2019,Other
BAI/BAI4A/2019-01/can,2019,Philippines,SEA4,MN857170,2019,Canis familiaris,Calabarzon,Rizal,NA,NA,"Angono, Rizal",rabv-glue,1/1/19,2019,Other
BAI/BAINCR/2019-01/can,2019,Philippines,SEA4,MN857167,2019,Canis familiaris,National Capital Region,NA,NA,NA,Caloocan City,rabv-glue,1/1/19,2019,Other
BAI/BAINCR/2019-02/can,2019,Philippines,SEA4,MN857168,2019,Canis familiaris,National Capital Region,NA,NA,NA,Quezon City,rabv-glue,1/1/19,2019,Other
BAI/BAINCR/2019-03/can,2019,Philippines,SEA4,MN857169,2019,Canis familiaris,National Capital Region,NA,NA,NA,Pasay City,rabv-glue,1/1/19,2019,Other
H-23-011Sk_12,2023,Philippines,SEA4,NA,2/2/23,Homo sapiens,Southwestern Tagalog Region,Romblon,NA,Concepcion Sur,Santa Maria,this paper,2/2/23,2023.087671,Romblon_new
PHI103,2001,Philippines,SEA4,AB116577,2001,12153119,Northern Mindanao,NA,NA,NA,Mindanao Island,rabv-glue,1/1/01,2001,Other
PHI114,2001,Philippines,SEA4,AB116578,2001,12153119,Northern Mindanao,NA,NA,NA,Mindanao Island,rabv-glue,1/1/01,2001,Other
Philippin_dog,2013,Philippines,SEA4,KC792240,2013,Canis familiaris,NA,NA,NA,NA,-,rabv-glue,1/1/13,2013,Other
R1-21-148,2022,Philippines,SEA4,NA,10/4/21,Canis familiaris,Ilocos Region,Pangasinan,NA,Malibong,Urbiztondo,this paper,10/4/21,2021.756164,Other
R10-688,2021,Philippines,SEA4,NA,2/7/21,Canis familiaris,Northern Mindanao,Bukidnon,NA,NA,Malaybalay,this paper,2/7/21,2021.10137,Other
R10-711,2022,Philippines,SEA4,NA,12/7/21,Canis familiaris,Northern Mindanao,Misamis Oriental,NA,Balulang,Cagayan de Oro,this paper,12/7/21,2021.931507,Other
R10-714,2022,Philippines,SEA4,NA,11/7/21,Canis familiaris,NA,Misamis Oriental,NA,Bonbon,Opol,this paper,11/7/21,2021.849315,Other
R10-824,2022,Philippines,SEA4,NA,9/9/21,Canis familiaris,Northern Mindanao,Misamis Oriental,NA,Bulua,Cagayan de Oro,this paper,9/9/21,2021.687671,Other
R10-856,2022,Philippines,SEA4,NA,27/09/2021,Canis familiaris,Northern Mindanao,Misamis Oriental,NA,NA,Manticao,this paper,9/27/21,2021.736986,Other
R10-907,2022,Philippines,SEA4,NA,25/10/2021,Canis familiaris,Northern Mindanao,Bukidnon,NA,Gango,Libona,this paper,10/25/21,2021.813699,Other
R10-920,2022,Philippines,SEA4,NA,26/10/2021,Canis familiaris,Northern Mindanao,Misamis Oriental,NA,Agusan,Cagayan de Oro,this paper,10/26/21,2021.816438,Other
R10-989,2022,Philippines,SEA4,NA,25/11/2021,Canis familiaris,Northern Mindanao,Misamis Oriental,NA,Barangay 1,Gingoog,this paper,11/25/21,2021.89863,Other
R10-990,2022,Philippines,SEA4,NA,25/11/2021,Canis familiaris,Northern Mindanao,Misamis Oriental,NA,Agay-Ayan,Gingoog,this paper,11/25/21,2021.89863,Other
R11-21-61,2022,Philippines,SEA4,NA,11/8/21,Canis familiaris,Bangsamoro,North Cotabato,NA,NA,Midsayap,this paper,11/8/21,2021.852055,Other
R11-21-63,2021,Philippines,SEA4,NA,4/10/21,Canis familiaris,Davao Region,Davao del Norte,NA,NA,Tagum,this paper,4/10/21,2021.271233,Other
R11-22-002,2022,Philippines,SEA4,NA,5/1/22,Canis familiaris,Davao Region,Davao del Sur,NA,Talomo,Davao,this paper,5/1/22,2022.328767,Other
R2-081,2021,Philippines,SEA4,NA,31/08/2020,Canis familiaris,Cagayan Valley,Cagayan,NA,Ugac Norte,Tuguegarao,this paper,8/31/20,2020.663934,Other
R3-731,2022,Philippines,SEA4,NA,9/12/21,Canis familiaris,Central Luzon,Nueva Ecija,NA,Sangitan,Cabanatuan,this paper,9/12/21,2021.69589,Other
R5-09,2022,Philippines,SEA4,NA,7/2/22,Felis catus,Bicol Region,Albay,NA,Bauud,Malilipot,this paper,7/2/22,2022.49863,Other
R5-21-115,2022,Philippines,SEA4,NA,28/09/2021,Canis familiaris,Bicol Region,Camarines Norte,NA,Pob. III,Vinzons,this paper,9/28/21,2021.739726,Other
R5-21-119,2022,Philippines,SEA4,NA,15/10/2021,Canis familiaris,Bicol Region,Sorsogon,NA,San Pedro,Irosin,this paper,10/15/21,2021.786301,Other
R5-21-128,2022,Philippines,SEA4,NA,9/11/21,Canis familiaris,Bicol Region,Camarines Sur,NA,Cararayan,Naga,this paper,9/11/21,2021.693151,Other
R5-21-132,2022,Philippines,SEA4,NA,15/11/2021,Canis familiaris,Bicol Region,Albay,NA,Labnig,Malinao,this paper,11/15/21,2021.871233,Other
R5-21-136,2021,Philippines,SEA4,NA,2/12/21,Canis familiaris,Bicol Region,Albay,NA,NA,Libon,this paper,2/12/21,2021.115068,Other
R5-21-140,2022,Philippines,SEA4,NA,10/12/21,Canis familiaris,Bicol Region,Camarines Norte,NA,Calang Calawan,Vinzons,this paper,10/12/21,2021.778082,Other
R5-22-008,2022,Philippines,SEA4,NA,2/2/22,Canis familiaris,Bicol Region,Albay,NA,Sto. Cristo,Tabaco,this paper,2/2/22,2022.087671,Other
R6-21-4375,2021,Philippines,SEA4,NA,1/10/21,Canis familiaris,Western Visayas,Iloilo,NA,Labigan,Sara,this paper,1/10/21,2021.024658,Other
R6-21-4511,2022,Philippines,SEA4,NA,8/10/21,Canis familiaris,Western Visayas,Antique,NA,San Isidro,Tibiao,this paper,8/10/21,2021.605479,Other
R6-21-4600,2022,Philippines,SEA4,NA,14/10/2021,Canis familiaris,Western Visayas,Iloilo,NA,Jibao-An,Pavia,this paper,10/14/21,2021.783562,Other
R6-4342,2022,Philippines,SEA4,NA,30/09/2021,Bos taurus,Western Visayas,Iloilo,NA,Cabanban,Oton,this paper,9/30/21,2021.745205,Other
R6-4568,2022,Philippines,SEA4,NA,13/10/2021,Canis familiaris,Western Visayas,Guimaras,NA,Avila,Buenavista,this paper,10/13/21,2021.780822,Other
R7-21-161,2022,Philippines,SEA4,NA,18/10/2021,Canis familiaris,Central Visayas,Cebu,NA,Pusok,Lapu lapu,this paper,10/18/21,2021.794521,Other
R9-010,2020,Philippines,SEA4,NA,27/01/2020,Felis catus,Zamboanga Peninsula,Zamboanga del Sur,NA,San Roque,Zamboanga,this paper,1/27/20,2020.071038,Other
R9-074,2022,Philippines,SEA4,NA,20/08/2021,Canis familiaris,Zamboanga Peninsula,Zamboanga del Sur,NA,Cogon,Sagun,this paper,8/20/21,2021.632877,Other
R9-089,2022,Philippines,SEA4,NA,7/10/21,Canis familiaris,Zamboanga Peninsula,Zamboanga Sibugay,NA,Pangi,Ipil,this paper,7/10/21,2021.520548,Other
R9-105,2022,Philippines,SEA4,NA,9/12/21,Canis familiaris,Zamboanga Peninsula,Zamboanga del Norte,NA,Lopoc,Labason,this paper,9/12/21,2021.69589,Other
RADDL1-16-153,2017,Philippines,SEA4,NA,18/07/2016,Canis familiaris,NA,Pangasinan,NA,Real,Urbiztondo,this paper,7/18/16,2016.543716,Other
RADDL1-16-154,2016,Philippines,SEA4,MN726857,2016,Canis lupus familiaris,NA,NA,NA,NA,-,rabv-glue,1/1/16,2016,Other
RADDL1-16-166,2017,Philippines,SEA4,NA,9/8/16,Canis familiaris,NA,Pangasinan,NA,West,Pabling,this paper,9/8/16,2016.685792,Other
RADDL3-1038,2015,Philippines,SEA4,MN726850,2015,Canis lupus familiaris,NA,NA,NA,NA,-,rabv-glue,1/1/15,2015,Other
RADDL3-1045,2016,Philippines,SEA4,MN726863,23/10/2015,Canis familiaris,Central Luzon,Bataan,NA,St. Francis,Limay,this paper,10/23/15,2015.808219,Other
